from,to,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
2,0,2,0,0,0,3,0,0,5,1,1,3,5,0,1,27,1,1,1,5,0,1,2,0,0,0,3,0,0,9,10,19
2,0,2,0,0,0,3,0,0,4,1,1,4,5,0,1,26,1,1,2,5,0,1,2,1,0,0,5,0,1,9,26,35
4,0,6,1,0,2,2,1,0,8,3,2,6,5,1,2,21,1,1,5,5,0,1,28,1,1,2,4,1,0,9,18,27
1,0,1,0,0,0,3,0,0,6,2,1,7,4,1,1,14,3,0,15,5,0,3,14,1,1,1,5,0,1,6,7,13
5,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,18,61,79
7,0,7,1,0,4,5,0,1,21,1,1,2,5,0,1,7,1,0,0,5,0,1,7,1,0,0,5,0,1,14,53,67
9,0,7,1,0,5,5,1,1,17,1,1,4,5,0,1,7,2,0,2,2,1,1,7,1,0,2,2,0,1,17,44,61
7,0,26,1,1,9,2,1,1,13,1,1,10,5,0,1,7,0,0,0,3,0,0,26,1,1,3,4,1,0,11,35,46
7,0,26,1,1,9,2,1,2,13,1,1,10,5,0,1,7,0,0,0,3,0,0,26,1,1,3,4,1,0,11,35,46
6,0,6,1,0,7,1,1,1,10,2,1,14,5,0,2,10,1,1,0,5,0,1,6,1,0,0,2,1,0,7,29,36
6,0,6,1,0,7,1,1,1,10,2,1,14,5,0,2,9,1,1,1,5,0,1,6,1,0,0,2,0,1,7,29,36
1,0,8,2,0,0,3,0,0,6,2,0,7,4,1,1,10,2,0,11,1,1,1,8,2,0,9,2,1,1,6,7,13
15,0,15,0,0,0,3,0,0,14,1,0,1,5,0,1,15,0,0,0,3,0,0,15,0,0,0,3,0,0,48,78,126
15,0,17,1,1,11,5,0,1,24,2,2,9,4,1,1,15,0,0,0,3,0,0,17,1,1,2,4,1,0,15,78,93
15,0,17,1,1,11,5,0,1,24,2,2,9,4,1,1,15,0,0,0,3,0,0,17,1,1,2,4,1,0,16,77,93
14,0,13,2,0,15,5,1,3,22,1,1,6,1,1,0,11,1,0,3,5,0,1,13,2,0,1,2,1,1,9,69,78
