id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_299,3,0,e_1,7,19,36,-1,-1,-1,0,3,0,0,13,1,1,0,5,0,1,3,0,0,0,3,0,0,3,0,0,0,3,0,0,12,17,29
p_296,1,0,e_1,20,29,38,-1,-1,-1,3,4,1,0,10,1,1,5,5,0,1,4,1,1,3,5,0,1,23,1,1,0,5,0,1,9,9,18
p_300,8,0,e_0,4,31,79,-1,-1,-1,0,3,0,0,8,0,0,0,3,0,0,8,0,0,0,3,0,0,8,0,0,0,3,0,0,27,48,75
p_291,6,0,e_0,35,41,81,-1,-1,-1,8,4,1,0,6,1,1,0,3,1,0,19,3,2,5,5,1,2,13,1,1,5,5,0,1,6,40,46
p_290,4,0,e_0,43,51,82,-1,-1,-1,6,4,1,0,17,1,1,1,5,0,1,18,3,2,8,5,1,2,12,1,1,8,5,0,1,8,31,39
p_286,3,0,e_0,51,58,83,-1,-1,-1,4,1,1,2,16,1,1,3,5,0,1,17,3,2,10,5,1,2,11,1,1,10,5,0,1,7,25,32
p_285,2,0,e_0,54,65,84,-1,-1,-1,4,4,1,2,16,1,1,4,5,0,1,17,3,2,11,5,1,2,11,1,1,11,5,0,1,11,19,30
p_288,1,0,e_0,49,72,85,-1,-1,-1,4,4,1,1,18,1,1,3,5,0,1,19,3,2,10,5,1,2,13,1,1,10,5,0,1,23,13,36
p_297,12,0,e_3,18,57,114,-1,-1,-1,0,3,0,0,8,1,0,4,5,0,1,9,1,0,3,2,0,1,10,1,0,2,5,0,1,39,57,96
p_287,12,0,e_3,51,61,116,-1,-1,-1,12,4,1,2,21,3,3,3,1,1,2,6,1,0,6,5,0,1,5,3,1,13,2,1,2,10,55,65
p_283,10,0,e_3,55,71,117,-1,-1,-1,12,4,1,1,23,3,3,3,1,1,2,6,1,1,6,5,0,1,7,3,1,13,2,1,2,16,46,62
p_281,10,0,e_3,63,72,118,-1,-1,-1,12,4,1,3,22,3,3,2,4,1,2,5,1,1,7,5,0,1,7,2,1,13,5,1,1,9,46,55
p_289,7,0,e_3,47,85,119,-1,-1,-1,12,4,1,0,26,3,3,3,1,1,2,9,1,1,6,5,0,1,10,3,1,13,2,1,2,38,34,72
p_282,6,0,e_3,62,92,120,-1,-1,-1,12,1,1,2,27,3,3,3,4,1,2,9,1,1,7,5,0,1,11,2,1,13,5,1,1,30,28,58
p_292,11,0,e_1,30,75,124,-1,-1,-1,0,3,1,0,27,2,2,8,4,1,1,14,3,2,5,5,1,2,8,1,1,5,5,0,1,45,49,94
p_276,5,0,e_1,82,97,126,-1,-1,-1,10,4,1,1,5,1,0,0,2,1,0,8,2,0,13,4,1,1,3,4,2,8,4,1,3,15,29,44
p_274,4,0,e_1,84,104,127,-1,-1,-1,9,4,1,3,4,1,0,0,2,1,0,9,2,0,13,4,1,1,3,4,1,7,1,1,3,20,23,43
p_298,4,0,e_2,10,25,127,-1,-1,-1,0,3,0,0,11,1,1,1,5,0,1,4,1,0,0,5,0,1,4,0,0,0,3,0,0,15,102,117
p_275,2,0,e_1,84,114,128,-1,-1,-1,9,4,1,2,2,1,0,0,2,1,0,11,2,0,13,4,1,1,5,4,1,7,1,1,3,30,14,44
p_295,5,0,e_2,22,32,129,-1,-1,-1,4,3,1,1,5,1,1,6,5,0,1,27,2,2,2,4,1,1,18,1,1,1,5,0,1,10,97,107
p_294,13,0,e_2,23,60,130,-1,-1,-1,4,3,1,2,7,1,0,6,5,0,1,19,2,2,2,4,1,1,12,1,0,1,5,0,1,37,70,107
p_293,15,0,e_2,26,70,131,-1,-1,-1,4,3,1,3,8,1,0,7,5,0,1,17,2,2,2,4,1,1,13,1,0,2,5,0,1,44,61,105
p_284,14,0,e_2,55,77,132,-1,-1,-1,15,4,1,0,17,2,2,1,1,1,1,4,1,0,10,5,0,1,26,5,5,10,1,1,4,22,55,77
p_279,2,0,e_2,76,117,133,-1,-1,-1,14,1,1,1,29,1,1,1,4,1,0,13,1,0,11,2,1,0,8,4,2,10,4,1,3,41,16,57
p_277,10,0,e_1,81,162,196,-1,-1,-1,10,4,1,0,10,1,0,0,2,1,0,4,2,0,14,4,1,1,28,4,4,8,4,1,3,81,34,115
p_278,15,0,e_0,80,135,205,-1,-1,-1,0,3,1,0,23,5,5,8,4,1,4,27,2,2,12,4,1,1,22,3,3,7,4,1,2,55,70,125
p_268,10,0,e_0,150,154,207,-1,-1,-1,11,4,1,1,4,1,0,6,5,0,1,8,2,1,4,5,0,2,11,3,3,9,5,0,3,4,53,57
p_262,6,0,e_0,164,170,208,-1,-1,-1,8,4,1,3,4,1,0,10,4,1,0,8,2,1,8,5,1,1,12,3,2,12,5,1,2,6,38,44
