id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_4,5,0,e_3,34,52,75,-1,-1,-1,0,3,0,0,15,1,1,6,5,0,1,13,1,1,4,5,0,1,3,1,0,2,5,0,1,18,23,41
p_7,2,0,e_3,55,65,77,-1,-1,-1,5,4,1,0,11,2,0,13,2,1,1,9,2,0,11,2,1,1,8,2,1,8,5,1,1,10,12,22
p_3,4,0,e_2,25,40,90,-1,-1,-1,0,3,0,0,19,1,1,3,5,0,1,17,1,1,1,5,0,1,4,0,0,0,3,0,0,15,50,65
p_2,11,0,e_1,19,55,92,-1,-1,-1,0,3,0,0,14,1,1,1,5,0,1,11,0,0,0,3,0,0,11,0,0,0,3,0,0,36,37,73
p_5,9,0,e_2,41,59,92,-1,-1,-1,4,3,1,1,8,1,1,9,5,0,1,6,1,1,7,5,0,1,7,1,0,2,5,0,1,18,33,51
p_1,13,0,e_0,13,55,106,-1,-1,-1,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,42,51,93
p_6,9,0,e_0,45,71,108,-1,-1,-1,13,4,1,0,2,1,0,11,4,1,0,0,2,0,9,5,1,1,25,2,2,4,4,1,1,26,37,63
p_11,4,0,e_0,84,90,109,-1,-1,-1,6,4,1,1,28,1,1,2,4,1,0,28,1,1,2,4,1,0,25,1,1,1,5,0,1,6,19,25
p_12,0,8,e_2,86,90,120,-1,-1,-1,0,3,1,0,4,3,0,4,1,1,2,1,1,0,1,4,1,0,27,1,1,3,5,0,1,4,30,34
p_15,5,0,e_1,99,117,136,-1,-1,-1,0,3,0,0,27,2,2,2,4,1,1,20,3,3,1,5,1,2,19,1,1,6,5,0,1,18,19,37
p_21,0,10,e_1,142,143,178,-1,-1,-1,0,3,0,0,21,3,3,9,5,1,2,13,2,2,13,2,1,1,11,1,0,11,4,1,0,1,35,36
p_8,15,0,e_3,62,126,179,-1,-1,-1,0,3,1,0,24,2,2,9,4,1,1,21,1,1,6,4,1,0,20,1,1,5,4,1,0,64,53,117
p_20,3,0,e_3,142,166,181,-1,-1,-1,11,4,1,0,18,3,2,9,5,1,2,3,1,1,0,3,0,1,10,2,0,13,2,1,1,24,15,39
p_13,8,0,e_2,87,120,190,-1,-1,-1,0,3,1,0,26,3,3,4,1,1,2,23,1,1,1,4,1,0,19,1,1,3,5,0,1,33,70,103
p_10,9,0,e_2,77,127,192,-1,-1,-1,0,3,1,1,25,3,3,4,1,1,2,22,1,1,1,4,1,0,18,1,1,3,5,0,1,50,65,115
p_14,13,0,e_2,87,143,193,-1,-1,-1,0,3,1,2,21,3,3,4,1,1,2,18,1,1,1,4,1,0,14,1,1,3,5,0,1,56,50,106
p_22,6,0,e_2,146,168,194,-1,-1,-1,13,4,1,0,14,3,1,10,2,1,2,14,1,1,0,5,1,0,3,2,0,9,4,1,1,22,26,48
p_32,0,10,e_2,209,210,245,-1,-1,-1,0,3,0,0,7,4,0,7,4,1,3,14,1,0,14,4,1,0,0,0,0,0,3,0,0,1,35,36
p_35,0,6,e_3,222,223,246,-1,-1,-1,0,3,0,0,5,4,0,5,1,1,3,11,1,0,11,4,1,0,17,1,1,3,5,1,0,1,23,24
p_16,4,0,e_0,101,125,250,-1,-1,-1,0,3,1,1,5,1,1,1,5,0,1,19,3,3,3,5,1,2,18,1,1,8,5,0,1,24,125,149
