id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_300,0,4,e_0,8,9,28,-1,-1,-1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,19,20
p_299,0,5,e_0,9,11,35,-1,-1,-1,0,5,1,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,2,24,26
p_296,0,4,e_1,28,29,50,-1,-1,-1,0,3,0,0,14,4,4,4,5,2,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,21,22
p_298,0,9,e_0,11,12,51,-1,-1,-1,0,2,2,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,39,40
p_295,0,5,e_1,29,31,57,-1,-1,-1,0,5,1,1,4,4,4,4,3,2,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,2,26,28
p_286,0,3,e_2,46,47,60,-1,-1,-1,0,2,5,1,10,2,2,8,5,1,1,21,4,4,3,5,3,1,0,0,0,0,3,0,0,1,13,14
p_289,0,4,e_2,43,44,67,-1,-1,-1,0,2,2,0,11,2,2,7,5,1,1,22,4,4,2,5,3,1,0,0,0,0,3,0,0,1,23,24
p_287,0,5,e_2,45,46,74,-1,-1,-1,0,2,4,1,11,2,2,7,5,1,1,21,4,4,3,5,3,1,0,0,0,0,3,0,0,1,28,29
p_285,0,4,e_3,53,54,74,-1,-1,-1,0,3,0,0,9,1,0,9,4,0,1,20,3,3,4,5,2,1,21,6,6,1,5,6,0,1,20,21
p_284,0,4,e_3,54,56,76,-1,-1,-1,0,5,1,1,9,1,0,9,4,0,1,20,3,3,4,5,2,1,21,6,6,1,5,6,0,2,20,22
p_290,0,6,e_2,40,42,81,-1,-1,-1,0,5,1,1,12,2,2,6,5,1,1,23,4,4,1,5,3,1,0,0,0,0,3,0,0,2,39,41
p_294,0,12,e_1,31,32,82,-1,-1,-1,0,2,2,1,14,3,3,4,5,2,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,50,51
p_293,0,12,e_1,33,34,83,-1,-1,-1,0,2,3,0,13,3,3,5,5,2,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,49,50
p_288,0,8,e_2,44,45,91,-1,-1,-1,0,2,3,1,11,2,2,7,5,1,1,22,4,4,2,5,3,1,0,0,0,0,3,0,0,1,46,47
p_283,0,9,e_3,57,58,95,-1,-1,-1,0,2,1,0,8,1,0,8,4,0,1,19,3,3,5,2,1,2,20,6,6,2,5,6,0,1,37,38
p_291,0,11,e_2,39,40,104,-1,-1,-1,0,3,0,0,13,2,2,5,5,1,1,23,4,4,1,5,3,1,0,0,0,0,3,0,0,1,64,65
p_297,0,6,e_0,15,82,111,-1,-1,-1,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,67,29,96
p_277,0,6,e_0,82,84,112,-1,-1,-1,0,5,1,1,12,2,2,12,2,1,1,16,3,3,6,2,2,1,13,2,2,5,5,1,1,2,28,30
p_274,0,8,e_0,88,89,122,-1,-1,-1,0,2,3,0,11,1,0,11,4,0,1,15,3,3,7,5,2,1,11,2,2,7,5,1,1,1,33,34
p_276,0,11,e_0,84,85,135,-1,-1,-1,0,2,1,1,12,1,1,12,2,0,1,16,3,3,6,5,2,1,12,2,2,6,5,1,1,1,50,51
p_271,0,1,e_1,121,127,136,-1,-1,-1,0,3,8,1,20,3,3,8,2,2,1,6,1,0,6,4,0,1,1,1,0,1,4,0,1,6,9,15
p_281,0,1,e_3,73,126,137,-1,-1,-1,4,3,2,0,3,1,0,3,4,0,1,15,2,2,9,5,1,1,17,5,5,5,2,4,1,53,11,64
p_278,0,2,e_3,77,130,144,-1,-1,-1,4,3,1,2,1,1,0,1,4,0,1,13,2,2,11,5,1,1,17,4,4,5,5,3,1,53,14,67
p_275,0,14,e_0,86,87,148,-1,-1,-1,0,2,2,0,12,1,0,12,4,0,1,15,3,3,7,5,2,1,12,2,2,6,5,1,1,1,61,62
p_273,0,4,e_1,110,125,149,-1,-1,-1,0,3,8,1,20,3,3,8,2,2,1,6,1,0,6,4,0,1,1,1,0,1,4,0,1,15,24,39
p_279,0,5,e_3,76,129,157,-1,-1,-1,4,3,5,2,1,1,0,1,4,0,1,13,2,2,11,5,1,1,17,4,4,5,5,3,1,53,28,81
p_292,0,6,e_1,38,123,159,-1,-1,-1,0,5,3,0,13,2,2,5,5,1,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,85,36,121
p_267,0,1,e_2,148,150,166,-1,-1,-1,0,5,2,0,14,1,1,14,2,0,1,4,4,4,4,3,4,0,26,2,2,2,5,2,0,2,16,18
p_270,0,9,e_1,122,128,172,-1,-1,-1,0,3,0,1,20,3,3,8,2,2,1,6,1,0,6,4,0,1,1,1,0,1,4,0,1,6,44,50
