id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_297,5,0,e_0,8,21,35,-1,-1,-1,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,13,14,27
p_296,2,0,e_2,20,27,35,-1,-1,-1,0,3,0,0,3,1,0,5,2,0,1,26,1,1,2,5,0,1,2,0,0,0,3,0,0,7,8,15
p_288,2,0,e_3,21,28,36,-1,-1,-1,0,3,0,0,3,2,0,5,2,1,1,25,1,1,3,5,0,1,2,1,0,0,5,0,1,7,8,15
p_298,7,0,e_2,45,62,80,-1,-1,-1,0,3,0,0,8,3,1,3,5,0,3,8,1,0,15,5,0,1,7,0,0,0,3,0,0,17,18,35
p_291,4,0,e_0,31,48,92,-1,-1,-1,0,3,1,0,17,1,1,9,5,0,1,4,1,1,0,3,1,0,26,1,1,0,4,1,0,17,44,61
p_299,7,0,e_0,22,58,94,-1,-1,-1,0,3,1,1,14,1,1,9,5,0,1,7,1,1,0,3,1,0,23,1,1,0,4,1,0,36,36,72
p_285,9,0,e_0,29,66,95,-1,-1,-1,0,3,1,2,12,1,1,9,5,0,1,9,1,1,0,3,1,0,21,1,1,0,4,1,0,37,29,66
p_274,2,0,e_0,79,84,96,-1,-1,-1,4,4,1,1,6,5,2,8,1,1,4,2,1,1,0,3,1,0,14,1,1,14,5,0,1,5,12,17
p_295,15,0,e_1,14,47,113,-1,-1,-1,0,3,0,0,13,1,0,2,5,0,1,15,0,0,0,3,0,0,15,0,0,0,3,0,0,33,66,99
p_284,15,0,e_1,49,51,115,-1,-1,-1,0,3,0,0,11,3,0,4,2,1,2,16,2,0,15,5,1,1,14,1,0,1,5,0,1,2,64,66
p_283,15,0,e_1,50,53,116,-1,-1,-1,15,3,1,1,11,3,0,4,5,1,2,13,1,0,2,5,0,1,15,1,0,0,5,0,1,3,63,66
p_289,12,0,e_1,58,63,117,-1,-1,-1,14,4,1,4,5,3,0,7,2,1,2,6,1,0,6,5,0,1,14,1,1,4,5,0,1,5,54,59
p_290,10,0,e_1,55,71,118,-1,-1,-1,15,4,1,2,4,3,0,6,5,1,2,6,1,0,4,5,0,1,18,1,1,2,5,0,1,16,47,63
p_292,8,0,e_1,54,79,119,-1,-1,-1,15,1,1,1,4,3,1,6,5,1,2,4,1,0,4,5,0,1,20,1,1,2,5,0,1,25,40,65
p_286,7,0,e_1,46,85,120,-1,-1,-1,15,3,0,1,7,3,1,4,5,0,3,7,1,0,0,5,0,1,7,0,0,0,3,0,0,39,35,74
p_282,7,0,e_1,73,86,121,-1,-1,-1,7,4,1,0,3,5,1,10,4,1,4,26,1,1,3,4,1,0,12,1,1,11,5,0,1,13,35,48
p_294,6,0,e_1,57,92,122,-1,-1,-1,14,4,1,3,5,3,1,7,2,1,2,3,1,1,5,5,0,1,21,1,1,3,5,0,1,35,30,65
p_287,6,0,e_1,58,93,123,-1,-1,-1,14,4,1,4,5,3,1,7,2,1,2,2,1,1,6,5,0,1,20,1,1,4,5,0,1,35,30,65
p_293,1,0,e_1,60,107,124,-1,-1,-1,13,4,1,5,10,2,1,7,5,1,1,6,1,0,7,5,0,1,24,1,1,5,5,0,1,47,17,64
p_266,7,0,e_0,108,115,131,-1,-1,-1,8,1,1,3,2,1,0,5,5,0,1,24,1,1,1,1,1,0,9,2,1,12,2,0,2,7,16,23
p_267,13,0,e_3,84,90,136,-1,-1,-1,15,4,0,1,19,3,3,2,1,1,2,24,4,4,7,1,1,3,15,2,1,0,5,0,2,6,46,52
p_270,9,0,e_3,82,102,138,-1,-1,-1,15,3,1,0,23,3,3,2,1,1,2,28,4,4,7,4,1,3,19,2,2,0,5,0,2,20,36,56
p_277,8,0,e_3,90,108,139,-1,-1,-1,13,1,1,2,22,2,2,0,4,1,1,28,3,3,6,4,1,2,17,2,2,3,5,0,2,18,31,49
p_280,7,0,e_3,107,114,140,-1,-1,-1,8,1,1,2,3,1,0,4,5,0,1,24,2,2,1,1,1,1,9,2,1,12,5,0,2,7,26,33
p_268,1,0,e_3,112,130,141,-1,-1,-1,7,4,1,2,6,1,0,7,5,0,1,1,1,1,0,3,1,0,15,2,1,12,5,1,1,18,11,29
p_276,12,0,e_2,70,109,168,-1,-1,-1,0,3,1,0,22,3,3,4,4,1,2,26,5,5,8,1,1,4,4,1,1,14,5,0,1,39,59,98
p_271,12,0,e_2,74,110,170,-1,-1,-1,0,3,1,1,22,3,3,4,4,1,2,26,5,5,8,1,1,4,4,1,1,14,5,0,1,36,60,96
p_273,14,0,e_2,66,118,171,-1,-1,-1,0,3,1,1,20,3,3,4,4,1,2,24,5,5,8,1,1,4,2,1,1,14,5,0,1,52,53,105
