id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_3,4,0,e_2,25,36,48,-1,-1,-1,0,3,0,0,17,1,1,5,5,0,1,16,1,1,2,5,0,1,4,0,0,0,3,0,0,11,12,23
p_4,5,0,e_3,34,47,61,-1,-1,-1,0,3,0,0,11,1,1,10,5,0,1,10,1,1,7,5,0,1,1,1,0,4,5,0,1,13,14,27
p_2,11,0,e_1,19,44,70,-1,-1,-1,0,3,0,0,13,1,1,2,5,0,1,11,0,0,0,3,0,0,11,0,0,0,3,0,0,25,26,51
p_1,13,0,e_0,13,42,81,-1,-1,-1,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,29,39,68
p_5,9,0,e_0,41,54,83,-1,-1,-1,13,4,1,0,2,2,0,11,2,1,1,22,1,1,1,4,1,0,5,1,0,4,5,0,1,13,29,42
p_6,9,0,e_0,45,55,84,-1,-1,-1,13,4,1,1,20,1,0,11,2,1,0,22,1,1,1,4,1,0,4,1,0,5,5,0,1,10,29,39
p_7,2,0,e_0,55,73,85,-1,-1,-1,9,1,1,1,5,1,0,7,4,1,0,2,0,0,0,3,0,0,30,1,1,2,4,1,0,18,12,30
p_12,0,8,e_0,86,87,107,-1,-1,-1,0,2,0,0,14,1,1,4,5,0,1,19,1,1,11,5,0,1,11,1,1,9,5,0,1,1,20,21
p_10,9,0,e_1,77,98,123,-1,-1,-1,0,3,0,0,22,1,1,1,4,1,0,14,1,1,7,5,0,1,7,1,1,4,5,0,1,21,25,46
p_9,10,0,e_3,67,90,123,-1,-1,-1,0,3,0,0,24,2,2,4,4,1,1,21,1,1,1,4,1,0,18,1,1,2,5,0,1,23,33,56
p_13,8,0,e_3,87,98,125,-1,-1,-1,10,4,1,1,7,1,0,1,5,1,0,3,1,1,7,5,0,1,8,1,1,14,5,0,1,11,27,38
p_11,4,0,e_3,84,110,126,-1,-1,-1,10,4,1,0,11,1,1,1,5,1,0,7,1,1,7,5,0,1,12,1,1,14,5,0,1,26,16,42
p_16,4,0,e_3,101,111,127,-1,-1,-1,9,4,1,0,6,1,1,6,5,1,0,10,3,2,14,4,1,2,4,2,0,8,4,1,1,10,16,26
p_8,15,0,e_2,62,95,143,-1,-1,-1,0,3,0,0,22,2,2,7,4,1,1,18,1,1,3,4,1,0,15,1,0,0,2,0,1,33,48,81
p_19,0,7,e_1,125,126,144,-1,-1,-1,0,2,0,0,20,1,1,10,5,0,1,6,2,0,6,4,1,1,0,1,1,0,2,1,0,1,18,19
p_14,13,0,e_2,87,105,145,-1,-1,-1,15,3,1,1,11,1,0,2,5,1,0,5,1,0,8,5,0,1,26,3,3,9,4,1,2,18,40,58
p_17,10,0,e_2,112,115,146,-1,-1,-1,11,4,1,1,2,0,0,8,3,0,0,24,1,1,4,1,1,0,24,1,1,4,1,1,0,3,31,34
p_15,5,0,e_2,99,129,147,-1,-1,-1,15,4,1,1,6,1,1,5,5,1,0,14,1,0,9,2,1,0,3,2,0,8,1,1,1,30,18,48
p_21,0,10,e_2,142,143,171,-1,-1,-1,0,3,1,0,15,1,0,15,4,1,0,7,1,1,7,5,1,0,0,0,0,0,3,0,0,1,28,29
p_18,15,0,e_0,120,137,181,-1,-1,-1,8,3,0,0,16,1,1,1,4,1,0,24,2,2,9,4,1,1,16,1,1,1,4,1,0,17,44,61
