id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_299,0,5,e_1,9,10,22,-1,-1,-1,0,5,1,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,12,13
p_300,0,4,e_0,8,9,24,-1,-1,-1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,15,16
p_297,0,6,e_2,15,16,30,-1,-1,-1,0,5,2,0,8,1,1,2,5,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,14,15
p_298,0,9,e_0,11,12,38,-1,-1,-1,0,2,1,0,10,1,1,0,5,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,26,27
p_296,0,4,e_3,28,29,46,-1,-1,-1,5,3,0,0,13,2,2,5,5,1,1,6,1,1,6,5,1,0,0,0,0,0,3,0,0,1,17,18
p_295,0,5,e_3,29,31,52,-1,-1,-1,0,5,1,0,13,2,2,5,5,1,1,5,1,0,5,4,0,1,6,1,1,6,2,1,0,2,21,23
p_286,0,3,e_1,46,48,58,-1,-1,-1,0,2,4,1,6,1,0,6,4,0,1,3,1,0,3,4,0,1,20,3,3,4,2,2,1,2,10,12
p_289,0,4,e_1,43,45,64,-1,-1,-1,0,2,2,1,8,1,0,8,4,0,1,4,1,0,4,4,0,1,21,3,3,3,5,3,0,2,19,21
p_287,0,5,e_1,45,47,70,-1,-1,-1,0,2,3,1,7,1,0,7,4,0,1,3,1,0,3,4,0,1,20,3,3,4,2,3,0,2,23,25
p_285,0,4,e_2,53,55,70,-1,-1,-1,0,5,0,0,3,1,0,3,4,0,1,21,6,6,1,5,6,0,19,1,1,5,2,1,0,2,15,17
