id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_296,2,0,e_1,20,27,35,2,0,0,0,3,0,0,23,2,1,5,2,0,2,2,0,0,0,3,0,0,2,0,0,0,3,0,0,7,8,15
p_288,2,0,e_2,21,28,36,2,0,0,0,3,0,0,23,3,1,5,2,1,2,2,1,0,0,5,0,1,2,0,0,0,3,0,0,7,8,15
p_297,5,0,e_0,8,21,85,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,13,64,77
p_295,15,0,e_0,14,45,87,15,0,0,2,5,0,1,15,0,0,0,3,0,0,15,0,0,0,3,0,0,15,0,0,0,3,0,0,31,42,73
p_290,10,0,e_0,55,61,88,10,2,1,12,4,1,0,6,2,0,4,5,0,2,6,1,0,4,5,0,1,10,2,1,10,5,1,1,6,27,33
p_294,6,0,e_2,57,61,94,13,2,1,5,5,0,1,5,2,1,11,4,1,1,5,2,2,5,5,0,2,13,2,1,11,5,1,1,4,33,37
p_287,6,0,e_2,58,62,96,13,2,1,5,5,0,2,5,2,1,11,4,1,1,4,2,2,6,5,0,2,13,2,1,11,5,1,1,4,34,38
p_286,7,0,e_2,46,68,97,4,2,1,0,3,0,0,8,2,2,15,3,1,1,7,1,0,0,5,0,1,4,2,1,7,5,1,1,22,29,51
p_274,2,0,e_2,79,82,98,11,2,1,3,4,1,1,30,1,1,2,4,1,0,10,2,0,12,2,1,1,11,2,1,13,4,1,1,3,16,19
p_293,1,0,e_2,60,88,99,17,2,1,6,2,0,2,9,2,0,10,1,1,1,16,3,2,7,5,0,3,17,2,1,12,5,1,1,28,11,39
p_291,4,0,e_3,31,33,111,10,2,2,4,5,0,2,17,2,1,9,5,1,1,27,1,1,1,4,1,0,28,1,1,2,4,1,0,2,78,80
