id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_3,4,0,e_2,25,36,56,4,0,0,0,3,0,0,17,1,1,5,5,0,1,16,1,1,2,5,0,1,4,0,0,0,3,0,0,11,20,31
p_4,5,0,e_2,34,42,58,5,0,0,4,5,0,1,11,1,1,10,5,0,1,10,1,1,7,5,0,1,5,0,0,0,3,0,0,8,16,24
p_2,11,0,e_1,19,44,70,11,0,0,0,3,0,0,13,1,1,2,5,0,1,11,0,0,0,3,0,0,11,0,0,0,3,0,0,25,26,51
p_7,2,0,e_3,55,62,70,2,0,0,0,3,0,0,7,2,0,9,1,1,1,5,1,0,7,4,1,0,2,1,1,0,3,1,0,7,8,15
p_1,13,0,e_0,13,42,77,13,0,0,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,29,35,64
p_5,9,0,e_0,41,54,79,9,0,0,13,2,0,1,3,1,1,10,5,0,1,4,2,0,5,2,1,1,9,0,0,0,3,0,0,13,25,38
p_6,9,0,e_0,45,55,80,9,0,0,13,4,1,1,20,1,0,11,2,1,0,26,1,1,5,4,1,0,9,0,0,0,3,0,0,10,25,35
p_12,0,8,e_3,86,87,108,0,0,0,0,3,0,0,8,1,1,0,5,0,1,14,1,1,4,5,0,1,20,2,2,10,2,1,1,1,21,22
p_11,4,0,e_0,84,95,131,4,0,0,0,3,0,0,11,1,1,3,5,0,1,16,2,1,10,2,0,2,4,0,0,0,3,0,0,11,36,47
p_16,4,0,e_3,101,120,132,7,1,1,5,5,1,0,7,3,1,5,2,1,2,13,2,1,9,5,1,1,19,1,0,15,5,1,0,19,12,31
p_15,5,0,e_0,99,101,133,7,1,1,5,5,1,1,12,2,1,9,2,1,1,10,2,0,15,5,1,1,7,1,1,4,5,1,0,2,32,34
p_13,8,0,e_0,87,111,134,8,2,0,1,5,0,1,6,1,1,4,5,0,1,12,2,1,10,5,1,1,8,2,0,0,5,1,1,24,23,47
p_9,10,0,e_2,67,85,139,21,1,1,2,5,0,1,24,1,1,4,4,1,0,21,1,1,1,4,1,0,21,1,1,1,4,1,0,18,54,72
