id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_291,4,0,e_2,31,42,54,4,0,0,0,3,0,0,17,2,1,9,5,1,1,12,3,2,2,5,1,2,4,0,0,0,3,0,0,11,12,23
p_293,1,0,e_2,60,65,71,1,0,0,0,3,0,0,9,4,2,10,1,1,3,17,4,1,12,2,1,3,1,0,0,0,3,0,0,5,6,11
p_297,5,0,e_0,8,21,94,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,13,73,86
p_274,2,0,e_3,79,86,94,2,0,0,0,3,0,0,4,1,0,6,1,1,0,13,3,2,15,4,1,2,10,1,1,2,5,0,1,7,8,15
p_295,15,0,e_0,14,45,96,15,0,0,2,5,0,1,15,0,0,0,3,0,0,15,0,0,0,3,0,0,15,0,0,0,3,0,0,31,51,82
p_290,10,0,e_0,55,61,97,10,0,0,12,4,1,1,10,3,1,10,5,1,2,10,1,0,0,2,0,1,10,0,0,0,3,0,0,6,36,42
p_292,8,0,e_0,54,69,98,8,0,0,13,4,1,0,12,3,1,10,5,1,2,8,1,0,0,5,0,1,8,0,0,0,3,0,0,15,29,44
p_294,6,0,e_0,57,77,99,6,0,0,11,4,1,2,13,3,1,11,5,1,2,6,0,0,0,3,0,0,6,0,0,0,3,0,0,20,22,42
p_287,6,0,e_0,58,78,100,6,0,0,11,4,1,3,12,3,1,12,5,1,2,6,0,0,0,3,0,0,6,0,0,0,3,0,0,20,22,42
p_268,1,0,e_3,112,117,123,1,0,0,0,3,0,0,11,1,1,2,5,0,1,6,1,0,7,1,1,0,12,2,1,13,4,1,1,5,6,11
p_296,2,0,e_1,20,27,129,2,0,0,0,3,0,0,23,2,1,5,2,0,2,2,0,0,0,3,0,0,2,0,0,0,3,0,0,7,102,109
p_288,2,0,e_1,21,28,131,2,0,0,0,5,0,1,23,3,1,5,2,1,2,2,0,0,0,3,0,0,2,0,0,0,3,0,0,7,103,110
p_299,7,0,e_1,22,42,132,7,0,0,0,5,0,1,18,2,1,5,2,1,1,7,0,0,0,3,0,0,7,0,0,0,3,0,0,20,90,110
p_285,9,0,e_1,29,50,133,9,0,0,2,2,1,1,13,2,1,8,5,1,1,9,0,0,0,3,0,0,9,0,0,0,3,0,0,21,83,104
p_289,12,0,e_1,58,60,134,12,0,0,12,5,1,2,29,4,4,11,4,1,3,12,0,0,0,3,0,0,12,0,0,0,3,0,0,2,74,76
p_273,14,0,e_1,66,68,135,14,0,0,14,5,1,2,25,3,3,9,4,1,2,15,1,0,1,2,1,0,14,0,0,0,3,0,0,2,67,69
