id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_3,4,0,e_2,25,36,56,4,0,0,0,3,0,0,17,1,1,5,5,0,1,16,1,1,2,5,0,1,4,0,0,0,3,0,0,11,20,31
p_4,5,0,e_2,34,42,58,5,0,0,4,5,0,1,11,1,1,10,5,0,1,10,1,1,7,5,0,1,5,0,0,0,3,0,0,8,16,24
p_1,13,0,e_0,13,42,72,13,0,0,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,29,30,59
p_2,11,0,e_1,19,44,75,11,0,0,0,3,0,0,13,1,1,2,5,0,1,11,0,0,0,3,0,0,11,0,0,0,3,0,0,25,31,56
p_5,9,0,e_1,41,52,77,9,0,0,10,5,0,1,4,1,0,13,2,0,1,4,2,0,5,2,1,1,9,0,0,0,3,0,0,11,25,36
p_6,9,0,e_1,45,53,78,9,0,0,11,2,1,1,4,1,0,13,4,1,0,26,1,1,5,4,1,0,9,0,0,0,3,0,0,8,25,33
p_11,4,0,e_0,84,95,107,8,2,2,0,3,0,0,4,0,0,0,3,0,0,16,2,1,10,5,1,1,8,2,2,8,5,0,2,11,12,23
p_12,0,8,e_1,86,87,112,11,2,2,0,3,0,0,8,1,1,0,5,0,1,19,2,2,11,5,1,1,11,2,2,9,5,0,2,1,25,26
p_7,2,0,e_2,55,66,132,2,0,0,0,3,1,0,6,1,0,8,4,1,0,7,1,0,9,4,1,0,2,0,0,0,3,0,0,11,66,77
p_8,15,0,e_2,62,96,134,15,0,0,1,5,0,1,19,1,1,4,4,1,0,21,1,1,6,4,1,0,15,0,0,0,3,0,0,34,38,72
p_10,9,0,e_3,77,88,138,7,1,1,4,5,0,1,9,0,0,0,3,0,0,9,1,0,0,2,1,0,15,2,1,6,5,1,1,11,50,61
p_9,10,0,e_3,67,94,140,10,0,0,0,3,0,0,22,1,1,2,4,1,0,23,1,1,3,4,1,0,18,2,1,2,2,1,1,27,46,73
p_14,13,0,e_3,87,104,141,4,3,0,9,2,0,3,12,1,0,1,5,0,1,13,2,0,0,5,1,1,6,2,1,11,5,1,1,17,37,54
