id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_296,2,0,e_1,20,27,36,-1,-1,-1,0,3,0,0,23,2,1,5,2,0,2,2,0,0,0,3,0,0,2,0,0,0,3,0,0,7,9,16
p_288,2,0,e_1,21,28,38,-1,-1,-1,0,5,0,1,23,3,1,5,2,1,2,2,0,0,0,3,0,0,2,0,0,0,3,0,0,7,10,17
p_293,1,0,e_2,60,65,71,-1,-1,-1,0,3,0,0,14,4,4,15,3,1,3,22,5,3,7,2,1,4,1,0,0,0,3,0,0,5,6,11
p_297,5,0,e_0,8,21,111,-1,-1,-1,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,13,90,103
p_299,7,0,e_0,22,29,113,-1,-1,-1,5,2,1,1,7,1,0,0,5,0,1,7,0,0,0,3,0,0,7,0,0,0,3,0,0,7,84,91
p_285,9,0,e_0,29,37,114,-1,-1,-1,7,2,1,2,11,1,0,2,2,1,0,9,0,0,0,3,0,0,9,0,0,0,3,0,0,8,77,85
p_295,15,0,e_0,14,53,115,-1,-1,-1,2,5,0,1,15,0,0,0,3,0,0,15,0,0,0,3,0,0,15,0,0,0,3,0,0,39,62,101
p_284,15,0,e_0,49,55,116,-1,-1,-1,4,2,0,2,1,3,0,14,5,1,2,15,0,0,0,3,0,0,15,0,0,0,3,0,0,6,61,67
p_283,15,0,e_0,50,57,117,-1,-1,-1,4,2,1,3,1,3,0,14,5,1,2,15,0,0,0,3,0,0,15,0,0,0,3,0,0,7,60,67
p_292,8,0,e_0,54,77,118,-1,-1,-1,15,3,1,2,17,3,1,5,5,1,2,8,0,0,0,3,0,0,8,0,0,0,3,0,0,23,41,64
p_298,7,0,e_0,45,83,119,-1,-1,-1,12,5,1,1,5,1,0,2,5,0,1,7,0,0,0,3,0,0,7,0,0,0,3,0,0,38,36,74
p_282,7,0,e_0,73,84,120,-1,-1,-1,9,4,1,4,13,4,3,10,5,1,3,7,0,0,0,2,0,0,7,0,0,0,3,0,0,11,36,47
p_294,6,0,e_0,57,90,121,-1,-1,-1,15,5,1,3,18,4,3,6,5,1,3,6,0,0,0,3,0,0,6,0,0,0,3,0,0,33,31,64
p_287,6,0,e_0,58,91,122,-1,-1,-1,15,3,1,4,17,4,2,7,5,1,3,6,0,0,0,3,0,0,6,0,0,0,3,0,0,33,31,64
p_274,2,0,e_0,79,103,123,-1,-1,-1,8,4,1,3,16,4,2,12,2,1,3,2,0,0,0,3,0,0,2,0,0,0,3,0,0,24,20,44
p_291,4,0,e_1,31,50,140,-1,-1,-1,2,4,1,0,19,3,2,7,5,1,2,4,0,0,0,3,0,0,4,0,0,0,3,0,0,19,90,109
p_286,7,0,e_1,46,60,142,-1,-1,-1,3,5,0,1,11,3,1,12,5,1,2,7,0,0,0,3,0,0,7,0,0,0,3,0,0,14,82,96
p_290,10,0,e_1,55,70,143,-1,-1,-1,5,5,1,2,5,4,0,15,5,1,3,10,0,0,0,3,0,0,10,0,0,0,3,0,0,15,73,88
p_280,7,0,e_3,107,124,143,-1,-1,-1,0,3,0,0,24,2,2,1,4,1,1,4,3,2,11,4,1,2,11,1,1,4,5,0,1,17,19,36
p_289,12,0,e_1,58,78,144,-1,-1,-1,7,5,1,3,3,5,5,15,3,1,4,12,0,0,0,3,0,0,12,0,0,0,3,0,0,20,66,86
p_271,12,0,e_1,74,79,145,-1,-1,-1,11,5,1,3,27,5,5,9,4,1,4,12,0,0,0,3,0,0,12,0,0,0,3,0,0,5,66,71
p_266,7,0,e_3,108,125,145,-1,-1,-1,0,5,0,1,24,2,2,1,4,1,1,4,3,2,11,4,1,2,10,1,1,5,5,0,1,17,20,37
p_273,14,0,e_1,66,87,146,-1,-1,-1,9,5,1,3,29,4,4,13,4,1,3,15,1,0,1,2,1,0,14,0,0,0,3,0,0,21,59,80
p_267,13,0,e_1,84,101,147,-1,-1,-1,13,5,1,3,24,5,5,7,1,1,4,13,0,0,0,3,0,0,13,0,0,0,3,0,0,17,46,63
