id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_2,11,0,e_0,19,38,93,-1,-1,-1,2,5,0,1,11,0,0,0,3,0,0,11,0,0,0,3,0,0,11,0,0,0,3,0,0,19,55,74
p_1,13,0,e_0,13,46,95,-1,-1,-1,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,33,49,82
p_5,9,0,e_0,41,58,96,-1,-1,-1,11,5,1,3,9,0,0,0,3,0,0,9,0,0,0,3,0,0,9,0,0,0,3,0,0,17,38,55
p_6,9,0,e_0,45,59,97,-1,-1,-1,13,2,1,4,9,0,0,0,3,0,0,9,0,0,0,3,0,0,9,0,0,0,3,0,0,14,38,52
p_4,5,0,e_0,34,71,98,-1,-1,-1,10,5,0,3,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,37,27,64
p_3,4,0,e_0,25,77,99,-1,-1,-1,5,5,0,2,4,0,0,0,3,0,0,4,0,0,0,3,0,0,4,0,0,0,3,0,0,52,22,74
p_7,2,0,e_0,55,85,100,-1,-1,-1,10,4,1,3,2,0,0,0,3,0,0,2,0,0,0,3,0,0,2,0,0,0,3,0,0,30,15,45
p_12,0,8,e_2,86,87,105,-1,-1,-1,0,5,0,1,2,4,0,2,1,1,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,18,19
p_11,4,0,e_1,84,95,107,-1,-1,-1,0,3,0,0,28,5,5,2,1,1,4,4,0,0,0,3,0,0,4,0,0,0,3,0,0,11,12,23
p_13,8,0,e_2,87,107,125,-1,-1,-1,2,4,1,3,7,2,0,1,5,0,2,8,1,0,0,5,1,0,8,0,0,0,3,0,0,20,18,38
p_19,0,7,e_1,125,126,145,-1,-1,-1,0,3,0,0,23,6,6,7,5,1,5,30,3,3,0,5,0,3,0,0,0,0,3,0,0,1,19,20
p_21,0,10,e_3,142,143,176,-1,-1,-1,0,3,0,0,20,3,3,10,5,1,2,8,1,1,6,5,1,0,23,2,2,7,5,0,2,1,33,34
p_17,10,0,e_2,112,150,198,-1,-1,-1,6,4,1,0,16,8,2,4,2,1,7,10,0,0,0,3,0,0,10,0,0,0,3,0,0,38,48,86
p_20,3,0,e_3,142,154,200,-1,-1,-1,0,3,0,1,17,3,2,10,5,1,2,5,1,1,6,5,1,0,20,2,2,7,5,0,2,12,46,58
p_22,6,0,e_3,146,164,202,-1,-1,-1,0,5,1,1,12,3,2,12,5,1,2,13,0,0,7,2,0,0,15,2,2,9,5,0,2,18,38,56
p_26,6,0,e_1,169,191,207,-1,-1,-1,15,5,0,0,8,3,1,14,1,1,2,8,1,0,14,4,1,0,7,2,1,7,5,2,0,22,16,38
p_16,4,0,e_0,101,112,217,-1,-1,-1,0,2,0,6,28,1,1,2,4,1,0,5,1,1,7,5,1,0,4,0,0,0,3,0,0,11,105,116
p_15,5,0,e_0,99,118,219,-1,-1,-1,0,2,1,5,28,1,1,3,4,1,0,5,1,1,6,5,1,0,5,0,0,0,3,0,0,19,101,120
p_10,9,0,e_0,77,133,220,-1,-1,-1,4,1,1,4,9,0,0,0,3,0,0,9,0,0,0,3,0,0,9,0,0,0,3,0,0,56,87,143
p_9,10,0,e_0,67,139,221,-1,-1,-1,6,4,1,4,10,0,0,0,3,0,0,10,0,0,0,3,0,0,10,0,0,0,3,0,0,72,82,154
p_14,13,0,e_0,87,149,222,-1,-1,-1,2,4,1,4,12,2,0,1,5,0,2,13,1,0,0,5,1,0,13,0,0,0,3,0,0,62,73,135
p_8,15,0,e_0,62,157,223,-1,-1,-1,9,4,1,3,15,0,0,0,3,0,0,15,0,0,0,3,0,0,15,0,0,0,3,0,0,95,66,161
p_18,15,0,e_0,120,159,224,-1,-1,-1,2,4,1,1,10,6,0,5,5,1,5,15,0,0,0,3,0,0,15,0,0,0,3,0,0,39,65,104
p_23,15,0,e_0,150,161,225,-1,-1,-1,7,3,0,0,2,2,0,13,2,1,1,5,3,0,10,2,1,2,13,3,0,2,5,1,2,11,64,75
p_24,14,0,e_0,157,169,226,-1,-1,-1,15,5,1,1,6,1,1,10,5,0,1,4,2,1,12,5,1,1,11,3,0,3,5,2,1,12,57,69
p_25,9,0,e_0,163,183,227,-1,-1,-1,15,5,1,1,8,1,1,13,5,0,1,6,2,2,15,3,1,1,5,3,1,6,2,2,1,20,44,64
p_28,7,0,e_0,184,191,228,-1,-1,-1,9,1,1,1,2,1,0,9,4,0,1,29,1,1,6,4,1,0,30,1,1,7,4,1,0,7,37,44
p_27,5,0,e_0,180,199,229,-1,-1,-1,10,4,1,1,6,1,1,11,4,0,1,3,1,0,8,4,1,0,4,1,0,9,4,1,0,19,30,49
