id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_299,0,5,e_1,9,10,22,-1,-1,-1,0,5,1,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,12,13
p_300,0,4,e_0,8,9,24,-1,-1,-1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,15,16
p_297,0,6,e_2,15,16,30,-1,-1,-1,2,5,1,0,18,2,2,0,5,2,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,14,15
p_298,0,9,e_0,11,12,38,-1,-1,-1,0,2,1,0,10,1,1,0,5,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,26,27
p_296,0,4,e_3,28,29,44,-1,-1,-1,0,3,0,0,13,1,1,5,5,1,0,3,1,0,3,4,0,1,6,1,1,6,5,1,0,1,15,16
p_295,0,5,e_3,29,31,50,-1,-1,-1,5,5,1,0,3,1,0,3,4,0,1,6,1,1,6,2,1,0,8,2,2,0,5,1,1,2,19,21
p_289,0,4,e_1,43,44,54,-1,-1,-1,8,4,0,1,22,2,2,0,2,2,0,6,0,0,6,3,0,0,20,4,4,4,2,3,1,1,10,11
p_292,0,6,e_1,38,39,62,-1,-1,-1,0,3,0,0,9,2,2,9,2,0,2,6,0,0,6,3,0,0,22,3,3,2,5,3,0,1,23,24
p_290,0,6,e_1,40,42,63,-1,-1,-1,0,2,1,1,9,1,0,9,4,0,1,6,0,0,6,3,0,0,21,4,4,3,5,3,1,2,21,23
p_294,0,12,e_3,31,32,68,-1,-1,-1,6,5,1,1,2,1,0,2,4,0,1,6,0,0,6,2,0,0,10,3,3,0,2,2,1,1,36,37
