id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_296,2,0,e_2,20,29,39,-1,-1,-1,0,3,0,0,5,1,1,3,5,0,1,27,1,1,1,5,0,1,2,0,0,0,3,0,0,9,10,19
p_288,2,0,e_3,21,30,40,-1,-1,-1,0,3,0,0,4,1,1,4,5,0,1,26,1,1,2,5,0,1,2,1,0,0,5,0,1,9,10,19
p_297,5,0,e_0,8,26,49,-1,-1,-1,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,18,23,41
p_291,4,0,e_0,31,33,51,-1,-1,-1,4,4,1,0,21,1,1,5,5,0,1,28,1,1,2,4,1,0,6,1,0,2,2,1,0,2,18,20
p_298,7,0,e_3,45,69,94,-1,-1,-1,0,3,0,0,24,1,1,1,4,1,0,13,1,1,10,5,0,1,10,2,1,1,5,0,2,24,25,49
p_286,7,0,e_0,46,76,105,-1,-1,-1,0,3,1,0,12,1,1,11,5,0,1,9,2,1,2,5,0,2,7,1,0,0,5,0,1,30,29,59
p_299,7,0,e_2,22,65,106,-1,-1,-1,0,3,1,0,26,1,1,3,4,1,0,16,1,1,7,5,0,1,23,1,1,0,4,1,0,43,41,84
p_274,2,0,e_0,79,95,107,-1,-1,-1,7,4,1,0,12,7,5,14,4,1,6,7,1,0,9,4,1,0,3,1,0,5,4,1,0,16,12,28
p_285,9,0,e_2,29,75,108,-1,-1,-1,0,3,1,1,24,1,1,3,4,1,0,14,1,1,7,5,0,1,21,1,1,0,4,1,0,46,33,79
p_295,15,0,e_1,14,62,157,-1,-1,-1,0,3,0,0,14,1,0,1,5,0,1,15,0,0,0,3,0,0,15,0,0,0,3,0,0,48,95,143
p_284,15,0,e_1,49,64,159,-1,-1,-1,15,3,1,6,13,1,0,2,5,0,1,9,2,0,6,5,0,2,10,1,0,5,5,0,1,15,95,110
p_283,15,0,e_1,50,66,160,-1,-1,-1,15,3,1,6,13,1,0,2,5,0,1,9,2,0,6,5,0,2,10,1,0,5,5,0,1,16,94,110
p_273,14,0,e_1,66,75,161,-1,-1,-1,15,3,1,6,10,1,0,4,5,0,1,7,2,0,7,5,1,1,7,1,0,7,5,0,1,9,86,95
p_289,12,0,e_1,58,85,162,-1,-1,-1,15,3,1,5,10,1,0,2,5,0,1,6,2,0,6,5,0,2,7,1,0,5,5,0,1,27,77,104
p_276,12,0,e_1,70,86,163,-1,-1,-1,15,4,1,6,7,1,0,5,5,0,1,4,2,0,8,5,1,1,19,1,0,7,2,1,0,16,77,93
p_271,12,0,e_1,74,87,164,-1,-1,-1,14,1,1,7,5,1,0,7,5,0,1,3,2,0,9,2,1,1,24,1,1,6,4,1,0,13,77,90
p_290,10,0,e_1,55,97,165,-1,-1,-1,15,3,1,4,8,1,0,2,5,0,1,4,2,0,6,5,0,2,5,1,0,5,5,0,1,42,68,110
p_270,9,0,e_1,82,104,166,-1,-1,-1,13,4,1,6,27,2,2,6,4,1,1,29,1,1,8,4,1,0,25,1,1,4,4,1,0,22,62,84
p_292,8,0,e_1,54,111,167,-1,-1,-1,15,3,1,3,6,1,0,2,5,0,1,4,2,1,6,5,0,2,3,1,0,5,5,0,1,57,56,113
p_277,8,0,e_1,90,112,168,-1,-1,-1,12,4,1,6,25,2,2,3,4,1,1,27,1,1,5,4,1,0,23,1,1,1,4,1,0,22,56,78
p_272,8,0,e_1,113,114,169,-1,-1,-1,8,1,1,3,13,1,1,1,5,0,1,14,1,1,0,5,0,1,13,1,1,5,5,0,1,1,55,56
p_282,7,0,e_1,73,121,170,-1,-1,-1,14,4,1,6,1,1,0,6,5,0,1,2,2,0,9,5,1,1,30,1,1,7,4,1,0,48,49,97
p_280,7,0,e_1,107,122,171,-1,-1,-1,9,4,1,4,15,2,1,0,2,0,2,7,1,0,0,2,1,0,16,1,1,3,5,0,1,15,49,64
p_266,7,0,e_1,108,123,172,-1,-1,-1,9,4,1,4,15,1,1,0,2,0,1,7,1,0,0,2,0,1,16,1,1,3,5,0,1,15,49,64
p_279,11,0,e_2,112,148,190,-1,-1,-1,0,3,0,0,10,1,0,1,5,0,1,27,5,5,8,1,1,4,10,1,1,5,5,0,1,36,42,78
p_281,11,0,e_0,97,144,192,-1,-1,-1,0,3,1,0,28,6,6,9,1,1,5,19,1,1,0,4,1,0,13,1,1,2,5,0,1,47,48,95
p_264,4,0,e_2,171,173,192,-1,-1,-1,4,4,1,1,29,3,3,3,4,1,2,26,3,2,0,2,1,2,3,3,1,7,4,1,2,2,19,21
p_259,4,0,e_2,172,174,193,-1,-1,-1,4,1,1,2,29,3,3,3,4,1,2,26,3,2,0,2,0,3,3,3,1,7,4,1,2,2,19,21
p_255,2,0,e_0,138,175,194,-1,-1,-1,11,4,1,1,30,2,2,2,4,1,1,9,1,0,11,5,0,1,9,5,3,11,4,1,4,37,19,56
p_293,1,0,e_0,60,182,195,-1,-1,-1,9,4,1,2,30,1,1,1,4,1,0,10,1,0,11,4,1,0,9,5,3,10,1,1,4,122,13,135
