id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_3,4,0,e_2,25,40,56,-1,-1,-1,0,3,0,0,19,1,1,3,5,0,1,17,1,1,1,5,0,1,4,0,0,0,3,0,0,15,16,31
p_4,5,0,e_3,34,52,75,-1,-1,-1,0,3,0,0,15,1,1,6,5,0,1,13,1,1,4,5,0,1,3,1,0,2,5,0,1,18,23,41
p_7,2,0,e_3,55,65,77,-1,-1,-1,5,4,1,0,11,2,0,13,2,1,1,9,2,0,11,2,1,1,2,1,1,0,3,1,0,10,12,22
p_2,11,0,e_1,19,55,92,-1,-1,-1,0,3,0,0,14,1,1,1,5,0,1,11,0,0,0,3,0,0,11,0,0,0,3,0,0,36,37,73
p_1,13,0,e_0,13,55,102,-1,-1,-1,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,42,47,89
p_11,4,0,e_0,84,86,104,-1,-1,-1,4,4,1,1,28,1,1,2,4,1,0,6,1,1,8,5,0,1,25,1,1,1,5,0,1,2,18,20
p_12,0,8,e_1,86,92,121,-1,-1,-1,0,3,1,0,3,2,0,3,4,1,1,9,1,0,9,4,1,0,26,1,1,4,5,0,1,6,29,35
p_5,9,0,e_2,41,88,136,-1,-1,-1,0,3,1,0,4,2,0,13,2,1,1,2,2,0,11,2,1,1,26,2,2,5,4,1,1,47,48,95
p_6,9,0,e_2,45,89,138,-1,-1,-1,0,3,1,1,4,2,0,13,2,1,1,2,2,0,11,2,1,1,26,2,2,5,4,1,1,44,49,93
p_10,9,0,e_2,77,93,139,-1,-1,-1,9,4,1,1,24,2,2,3,4,1,1,9,1,1,0,3,1,0,17,1,1,4,5,0,1,16,46,62
p_13,8,0,e_2,87,100,140,-1,-1,-1,9,4,1,0,25,2,2,3,4,1,1,8,1,1,0,3,1,0,18,1,1,4,5,0,1,13,40,53
p_15,5,0,e_2,99,113,141,-1,-1,-1,8,1,1,1,26,2,2,1,4,1,1,20,2,2,1,5,1,1,19,1,1,6,5,0,1,14,28,42
p_16,4,0,e_2,101,120,142,-1,-1,-1,8,1,1,1,4,2,2,0,3,1,1,20,2,2,2,5,1,1,19,1,1,7,5,0,1,19,22,41
p_19,0,7,e_2,125,136,168,-1,-1,-1,15,3,0,1,14,1,1,6,5,0,1,18,1,1,8,5,0,1,3,1,0,3,4,1,0,11,32,43
p_9,10,0,e_0,67,138,180,-1,-1,-1,10,4,1,0,28,1,1,8,4,1,0,8,1,0,2,5,0,1,22,1,1,2,4,1,0,71,42,113
p_21,0,10,e_2,142,143,181,-1,-1,-1,0,2,1,1,10,1,0,10,4,1,0,13,1,0,13,4,1,0,12,2,0,12,4,1,1,1,38,39
p_22,6,0,e_0,146,154,182,-1,-1,-1,8,4,1,1,6,1,0,12,4,1,0,14,2,2,0,5,2,0,5,2,1,11,4,1,1,8,28,36
p_20,3,0,e_0,142,167,183,-1,-1,-1,10,4,1,0,10,1,0,13,4,1,0,11,2,1,0,2,1,1,9,2,1,12,4,1,1,25,16,41
p_14,13,0,e_1,87,140,183,-1,-1,-1,0,3,1,0,20,2,2,3,4,1,1,26,3,3,9,4,1,2,13,1,1,4,5,0,1,53,43,96
p_8,15,0,e_3,62,126,183,-1,-1,-1,0,3,1,0,23,2,2,8,4,1,1,21,1,1,6,4,1,0,10,1,0,5,5,0,1,64,57,121
p_18,15,0,e_3,120,128,185,-1,-1,-1,15,3,1,3,9,1,0,6,5,0,1,7,1,0,8,5,0,1,18,1,1,3,4,1,0,8,57,65
p_17,10,0,e_3,112,149,186,-1,-1,-1,15,3,1,2,4,1,0,6,5,0,1,8,1,1,8,5,0,1,23,1,1,3,4,1,0,37,37,74
p_27,5,0,e_1,180,203,226,-1,-1,-1,0,3,1,0,25,5,4,0,2,1,4,15,0,0,10,2,0,0,5,1,1,0,3,1,0,23,23,46
p_33,1,0,e_1,213,219,228,-1,-1,-1,3,4,1,0,21,4,3,8,5,1,3,3,2,1,4,4,1,1,21,1,1,6,5,0,1,6,9,15
p_28,7,0,e_2,184,196,229,-1,-1,-1,10,3,0,0,23,4,3,0,2,0,4,7,2,0,0,2,0,2,7,1,0,0,2,1,0,12,33,45
p_31,5,0,e_2,203,206,231,-1,-1,-1,6,4,1,1,19,4,3,6,5,0,4,0,2,0,5,2,1,1,20,1,1,3,5,0,1,3,25,28
p_30,2,0,e_2,200,219,232,-1,-1,-1,7,4,1,0,23,4,4,5,5,0,4,4,1,1,4,5,0,1,24,1,1,2,5,0,1,19,13,32
p_35,0,6,e_1,222,228,250,-1,-1,-1,0,3,2,0,20,3,3,10,5,1,2,1,1,0,1,4,1,0,18,1,1,10,5,0,1,6,22,28
p_32,0,10,e_1,209,226,266,-1,-1,-1,0,3,2,0,20,3,3,10,5,1,2,1,1,0,1,4,1,0,18,1,1,10,5,0,1,17,40,57
p_29,14,0,e_3,192,237,287,-1,-1,-1,0,3,0,0,14,4,1,2,5,0,4,12,1,0,2,5,0,1,17,1,1,8,4,0,1,45,50,95
p_38,12,0,e_3,240,247,289,-1,-1,-1,14,4,1,0,4,2,1,14,5,1,1,9,3,0,3,5,2,1,17,2,1,1,2,1,1,7,42,49
p_34,11,0,e_1,217,273,310,-1,-1,-1,0,3,1,0,9,3,2,10,5,1,2,20,2,2,1,4,1,1,7,1,1,10,5,0,1,56,37,93
p_26,6,0,e_0,169,205,316,-1,-1,-1,0,3,1,0,25,1,1,1,4,1,0,4,1,0,10,5,1,0,25,1,1,1,4,1,0,36,111,147
p_25,9,0,e_0,163,218,318,-1,-1,-1,0,3,1,1,22,1,1,1,4,1,0,1,1,0,10,5,1,0,22,1,1,1,4,1,0,55,100,155
p_24,14,0,e_0,157,237,319,-1,-1,-1,0,3,1,2,17,1,1,1,4,1,0,4,1,0,10,5,1,0,17,1,1,1,4,1,0,80,82,162
p_23,15,0,e_0,150,244,320,-1,-1,-1,0,3,1,3,16,1,1,1,4,1,0,5,1,0,10,5,1,0,16,1,1,1,4,1,0,94,76,170
p_37,15,0,e_0,228,246,321,-1,-1,-1,0,3,1,1,4,3,0,11,5,1,2,15,4,0,0,2,2,2,4,1,0,11,5,0,1,18,75,93
p_39,13,0,e_0,247,258,322,-1,-1,-1,15,3,1,1,8,3,0,5,5,2,1,14,2,1,3,5,1,1,29,2,2,12,1,1,1,11,64,75
p_41,7,0,e_0,257,280,323,-1,-1,-1,13,1,1,1,8,2,2,7,5,1,1,17,2,1,6,5,1,1,3,1,0,10,4,1,0,23,43,66
p_42,4,0,e_0,269,293,324,-1,-1,-1,10,4,1,1,8,1,1,10,5,0,1,16,2,1,10,5,1,1,2,1,0,6,4,1,0,24,31,55
p_43,4,0,e_0,270,294,325,-1,-1,-1,10,4,1,2,8,1,1,10,5,0,1,16,2,1,10,5,1,1,1,1,0,5,4,1,0,24,31,55
p_44,4,0,e_0,275,295,326,-1,-1,-1,8,4,1,2,7,1,0,11,4,1,0,14,2,1,12,5,1,1,30,1,1,4,4,1,0,20,31,51
p_47,3,0,e_0,293,302,327,-1,-1,-1,4,1,1,1,2,1,0,5,4,1,0,11,3,2,14,4,1,2,3,0,0,0,3,0,0,9,25,34
p_51,0,4,e_1,309,310,327,-1,-1,-1,0,3,1,0,2,1,0,2,4,1,0,10,3,0,10,4,1,2,0,0,0,0,3,0,0,1,17,18
p_49,3,0,e_0,298,303,328,-1,-1,-1,4,4,1,1,1,1,0,4,4,1,0,9,4,3,12,4,1,3,3,0,0,0,3,0,0,5,25,30
p_58,0,6,e_0,330,332,354,-1,-1,-1,0,5,0,1,4,0,0,4,3,0,0,8,3,0,8,4,1,2,23,1,1,5,5,0,1,2,22,24
p_36,1,0,e_2,225,239,371,-1,-1,-1,1,4,1,0,19,3,2,10,5,1,2,1,1,1,0,3,1,0,17,1,1,10,5,0,1,14,132,146
