id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_299,0,5,e_1,9,10,27,-1,-1,-1,0,5,1,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,17,18
p_300,0,4,e_0,8,9,28,-1,-1,-1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,19,20
p_297,0,6,e_2,15,16,36,-1,-1,-1,0,5,2,0,9,1,1,1,5,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,20,21
p_298,0,9,e_0,11,12,47,-1,-1,-1,0,2,1,0,10,1,1,0,5,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,35,36
p_296,0,4,e_3,28,29,50,-1,-1,-1,0,3,0,0,14,3,3,4,2,1,2,5,0,0,5,2,0,0,8,1,1,4,5,1,0,1,21,22
p_295,0,5,e_3,29,31,57,-1,-1,-1,0,5,1,1,14,2,2,4,2,1,1,5,0,0,5,3,0,0,8,1,1,4,5,1,0,2,26,28
p_285,0,4,e_2,53,63,80,-1,-1,-1,0,3,6,1,7,1,0,7,4,0,1,1,1,0,1,4,0,1,19,3,3,5,2,2,1,10,17,27
p_286,0,3,e_1,46,63,81,-1,-1,-1,0,3,6,1,7,1,0,7,4,0,1,1,1,0,1,4,0,1,19,3,3,5,2,2,1,17,18,35
p_294,0,12,e_3,31,32,82,-1,-1,-1,0,2,2,1,14,2,2,4,5,1,1,5,0,0,5,3,0,0,7,1,1,5,5,1,0,1,50,51
p_293,0,12,e_3,33,34,83,-1,-1,-1,0,2,3,0,13,2,2,5,5,1,1,5,0,0,5,3,0,0,7,1,1,5,5,1,0,1,49,50
p_289,0,4,e_1,43,61,88,-1,-1,-1,0,3,6,1,7,1,0,7,4,0,1,1,1,0,1,4,0,1,19,3,3,5,2,2,1,18,27,45
p_284,0,4,e_1,54,64,89,-1,-1,-1,0,3,6,1,7,1,0,7,4,0,1,1,1,0,1,4,0,1,19,3,3,5,2,2,1,10,25,35
p_281,0,1,e_0,73,78,96,-1,-1,-1,0,3,3,1,20,6,6,2,5,6,0,15,3,3,3,5,3,0,13,2,2,11,5,1,1,5,18,23
p_287,0,5,e_1,45,62,96,-1,-1,-1,0,3,6,1,7,1,0,7,4,0,1,1,1,0,1,4,0,1,19,3,3,5,2,2,1,17,34,51
p_288,0,8,e_2,44,61,96,-1,-1,-1,0,3,6,1,7,1,0,7,4,0,1,1,1,0,1,4,0,1,19,3,3,5,2,2,1,17,35,52
p_278,0,2,e_0,77,82,103,-1,-1,-1,0,3,0,1,20,6,6,2,5,6,0,15,3,3,3,5,3,0,13,2,2,11,5,1,1,5,21,26
p_292,0,6,e_1,38,57,103,-1,-1,-1,0,5,3,0,12,2,2,6,5,1,1,5,0,0,5,3,0,0,6,0,0,6,3,0,0,19,46,65
p_283,0,9,e_2,57,64,103,-1,-1,-1,0,5,1,1,7,1,0,7,4,0,1,1,1,0,1,4,0,1,19,3,3,5,2,1,2,7,39,46
p_290,0,6,e_1,40,60,104,-1,-1,-1,6,3,0,0,11,2,2,7,5,1,1,5,1,0,5,4,0,1,23,4,4,1,5,3,1,20,44,64
p_282,0,7,e_1,66,68,111,-1,-1,-1,0,5,5,0,4,1,0,4,4,0,1,18,3,3,0,5,3,0,17,2,2,7,5,1,1,2,43,45
p_279,0,5,e_0,76,81,116,-1,-1,-1,0,3,3,1,20,6,6,2,5,6,0,15,3,3,3,5,3,0,13,2,2,11,5,1,1,5,35,40
p_277,0,6,e_0,82,83,123,-1,-1,-1,0,2,4,1,19,5,5,3,2,5,0,14,2,2,4,5,2,0,12,2,2,12,2,1,1,1,40,41
p_291,0,11,e_1,39,59,127,-1,-1,-1,5,3,0,0,11,2,2,7,5,1,1,6,0,0,6,3,0,0,23,4,4,1,5,3,1,20,68,88
p_274,0,8,e_0,88,89,133,-1,-1,-1,0,2,6,0,18,5,5,4,2,5,0,12,2,2,6,5,2,0,11,1,0,11,4,0,1,1,44,45
p_271,0,1,e_3,121,126,135,-1,-1,-1,0,3,3,1,22,4,4,6,2,4,0,12,1,1,10,5,1,0,6,1,0,6,4,0,1,5,9,14
p_276,0,11,e_0,84,85,146,-1,-1,-1,0,2,5,0,19,5,5,3,5,5,0,14,2,2,4,5,2,0,12,1,1,12,2,0,1,1,61,62
p_273,0,4,e_3,110,123,148,-1,-1,-1,9,3,0,0,25,5,5,3,5,5,0,15,2,2,7,2,2,0,4,1,0,4,4,0,1,13,25,38
p_268,0,2,e_2,144,145,153,-1,-1,-1,11,3,0,0,17,2,2,11,5,2,0,0,0,0,0,3,0,0,17,3,3,3,5,3,0,1,8,9
p_280,0,14,e_0,75,80,159,-1,-1,-1,0,3,3,1,20,6,6,2,5,6,0,15,3,3,3,5,3,0,13,2,2,11,5,1,1,5,79,84
p_275,0,14,e_0,86,87,160,-1,-1,-1,0,2,6,0,18,5,5,4,5,5,0,13,2,2,5,5,2,0,12,1,0,12,4,0,1,1,73,74
p_270,0,9,e_3,122,127,167,-1,-1,-1,0,3,0,1,22,4,4,6,2,4,0,12,1,1,10,5,1,0,6,1,0,6,4,0,1,5,40,45
p_269,0,9,e_3,127,128,168,-1,-1,-1,0,2,4,1,22,3,3,6,5,3,0,11,1,1,11,2,0,1,4,1,0,4,4,0,1,1,40,41
p_272,0,10,e_3,113,125,175,-1,-1,-1,0,3,3,1,22,4,4,6,2,4,0,12,1,1,10,5,1,0,6,1,0,6,4,0,1,12,50,62
p_267,0,1,e_2,148,164,182,-1,-1,-1,2,3,5,0,15,1,1,13,5,1,0,8,1,0,8,4,0,1,15,2,2,5,5,2,0,16,18,34
p_265,0,4,e_2,152,167,195,-1,-1,-1,2,3,5,1,15,1,1,13,5,1,0,8,1,0,8,4,0,1,15,2,2,5,5,2,0,15,28,43
