id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_296,2,0,e_1,20,29,39,2,0,0,0,3,0,0,25,2,2,3,5,0,2,2,0,0,0,3,0,0,2,0,0,0,3,0,0,9,10,19
p_291,4,0,e_3,31,37,81,8,1,1,2,5,0,1,20,2,1,6,5,1,1,28,1,1,2,4,1,0,12,2,1,2,2,1,1,6,44,50
p_299,7,0,e_3,22,50,83,7,0,0,0,3,0,0,19,2,1,4,5,0,2,7,1,0,0,5,0,1,7,1,0,0,5,0,1,28,33,61
p_298,7,0,e_3,45,51,84,1,2,0,6,5,1,1,13,2,1,10,5,1,1,7,0,0,0,3,0,0,5,2,1,6,5,1,1,6,33,39
p_286,7,0,e_3,46,52,85,1,2,0,6,5,1,1,12,2,1,11,5,1,1,7,0,0,0,3,0,0,5,2,1,6,5,1,1,6,33,39
p_293,1,0,e_3,60,74,86,4,1,0,5,4,1,0,14,3,0,15,2,1,2,11,1,1,0,5,0,1,9,3,0,10,5,1,2,14,12,26
p_288,2,0,e_2,21,30,104,2,0,0,0,3,0,0,24,2,2,4,5,0,2,2,1,0,0,5,0,1,2,0,0,0,3,0,0,9,74,83
p_294,6,0,e_1,57,78,105,30,1,1,0,3,0,0,10,2,1,14,5,1,1,5,3,1,9,5,1,2,30,1,1,6,4,1,0,21,27,48
p_285,9,0,e_2,29,55,106,7,1,0,2,2,0,1,16,2,1,5,5,1,1,7,2,0,2,2,1,1,7,1,0,2,5,0,1,26,51,77
p_287,6,0,e_1,58,79,107,30,1,1,0,5,0,1,9,2,0,15,5,1,1,5,3,1,9,5,1,2,30,1,1,6,4,1,0,21,28,49
