id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_293,1,0,e_3,60,66,73,1,0,0,0,3,0,0,14,3,0,15,2,1,2,11,3,2,8,5,1,2,6,3,0,7,2,1,2,6,7,13
p_291,4,0,e_2,31,46,94,4,0,0,0,3,0,0,20,2,1,6,5,1,1,12,3,2,2,2,1,2,4,0,0,0,3,0,0,15,48,63
p_298,7,0,e_2,45,59,96,7,0,0,4,3,0,1,13,2,1,10,5,1,1,5,3,1,6,5,1,2,7,0,0,0,3,0,0,14,37,51
p_286,7,0,e_2,46,60,97,7,0,0,4,5,1,2,12,2,1,11,5,1,1,5,3,1,6,5,1,2,7,0,0,0,3,0,0,14,37,51
p_294,6,0,e_2,57,67,98,6,0,0,7,5,1,1,10,2,1,14,5,1,1,6,3,2,8,2,1,2,6,0,0,0,3,0,0,10,31,41
p_287,6,0,e_2,58,68,99,6,0,0,7,2,1,2,9,2,0,15,5,1,1,6,3,2,8,5,1,2,6,0,0,0,3,0,0,10,31,41
p_274,2,0,e_2,79,84,100,2,0,0,3,4,1,0,10,2,0,12,1,1,1,6,2,1,8,4,1,1,2,0,0,0,3,0,0,5,16,21
p_296,2,0,e_1,20,29,108,2,0,0,0,3,0,0,25,2,2,3,5,0,2,2,0,0,0,3,0,0,2,0,0,0,3,0,0,9,79,88
p_288,2,0,e_1,21,30,110,2,0,0,0,5,0,1,24,2,2,4,5,0,2,2,0,0,0,3,0,0,2,0,0,0,3,0,0,9,80,89
p_299,7,0,e_1,22,49,111,7,0,0,0,5,0,1,19,2,1,4,5,0,2,7,0,0,0,3,0,0,7,0,0,0,3,0,0,27,62,89
p_292,8,0,e_1,54,56,112,8,0,0,8,5,1,1,9,2,1,13,5,1,1,2,2,0,6,5,1,1,8,0,0,0,3,0,0,2,56,58
p_285,9,0,e_1,29,63,113,9,0,0,2,2,1,2,16,2,1,5,5,1,1,9,0,0,0,3,0,0,9,0,0,0,3,0,0,34,50,84
p_290,10,0,e_1,55,70,114,10,0,0,8,2,1,2,6,2,1,14,5,1,1,4,2,0,6,5,1,1,10,0,0,0,3,0,0,15,44,59
p_282,7,0,e_1,73,83,115,7,1,0,10,4,1,0,7,2,1,14,4,1,1,28,1,1,5,4,1,0,7,1,0,0,5,0,1,10,32,42
