id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_7,2,0,e_3,55,64,74,2,0,0,0,3,0,0,11,2,0,13,2,1,1,9,2,0,11,2,1,1,9,2,1,7,5,1,1,9,10,19
p_2,11,0,e_1,19,55,92,11,0,0,0,3,0,0,14,1,1,1,5,0,1,11,0,0,0,3,0,0,11,0,0,0,3,0,0,36,37,73
p_1,13,0,e_0,13,55,98,13,0,0,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,42,43,85
p_12,0,8,e_1,86,92,121,16,2,2,2,4,1,0,4,1,0,4,4,1,0,16,2,2,14,5,1,1,16,2,2,2,5,0,2,6,29,35
p_16,4,0,e_0,101,115,141,8,3,2,0,5,0,1,10,1,1,2,5,1,0,9,1,0,13,1,1,0,8,3,2,6,5,1,2,14,26,40
p_15,5,0,e_0,99,122,143,8,3,2,0,2,0,1,10,1,1,1,5,1,0,8,2,0,13,1,1,1,8,3,2,5,5,1,2,23,21,44
p_3,4,0,e_2,25,40,143,4,0,0,0,3,0,0,19,1,1,3,5,0,1,17,1,1,1,5,0,1,4,0,0,0,3,0,0,15,103,118
p_4,5,0,e_2,34,47,145,5,0,0,2,5,0,1,15,1,1,6,5,0,1,13,1,1,4,5,0,1,5,0,0,0,3,0,0,13,98,111
p_5,9,0,e_2,41,63,146,9,0,0,4,3,1,2,8,1,1,9,5,0,1,6,1,1,7,5,0,1,9,0,0,0,3,0,0,22,83,105
p_6,9,0,e_2,45,64,147,9,0,0,5,5,1,2,7,1,1,10,5,0,1,5,1,1,8,5,0,1,9,0,0,0,3,0,0,19,83,102
p_9,10,0,e_2,67,71,148,22,1,1,9,5,1,1,30,1,1,10,4,1,0,28,1,1,8,4,1,0,22,1,1,2,4,1,0,4,77,81
p_8,15,0,e_2,62,90,149,13,1,0,9,2,1,1,27,1,1,12,4,1,0,25,1,1,10,4,1,0,13,1,0,2,5,0,1,28,59,87
p_14,13,0,e_2,87,100,150,10,3,0,14,5,1,1,20,1,1,3,4,1,0,18,1,1,1,4,1,0,10,3,0,3,5,0,3,13,50,63
p_19,0,7,e_0,125,141,168,20,2,2,5,4,1,0,8,0,0,8,3,0,0,6,1,0,6,4,1,0,20,2,2,10,5,1,1,16,27,43
p_22,6,0,e_1,146,155,177,8,1,0,8,3,0,0,14,2,2,0,5,2,0,6,2,0,0,2,1,1,8,1,0,14,4,1,0,9,22,31
p_21,0,10,e_0,142,143,181,15,1,1,0,3,1,0,14,2,2,0,2,2,0,8,0,0,8,3,0,0,15,1,1,15,2,1,0,1,38,39
p_11,4,0,e_3,84,92,194,12,1,1,2,5,0,1,30,1,1,4,4,1,0,28,1,1,2,4,1,0,13,2,1,13,5,1,1,8,102,110
p_13,8,0,e_3,87,108,196,7,2,1,3,5,0,2,25,1,1,3,4,1,0,23,1,1,1,4,1,0,8,2,1,14,5,1,1,21,88,109
p_10,9,0,e_3,77,115,197,9,0,0,0,3,0,0,28,1,1,7,4,1,0,26,1,1,5,4,1,0,10,2,1,11,5,1,1,38,82,120
p_17,10,0,e_3,112,122,198,2,2,0,8,5,1,1,7,2,0,3,5,0,2,5,1,0,5,5,1,0,30,1,1,10,4,1,0,10,76,86
p_18,15,0,e_3,120,141,199,5,2,0,10,5,1,1,10,2,0,5,5,1,1,7,1,0,8,2,1,0,22,1,1,7,4,1,0,21,58,79
p_26,6,0,e_3,169,172,200,1,1,0,7,4,1,0,17,3,3,7,2,1,2,26,1,1,2,4,1,0,8,2,1,4,5,1,1,3,28,31
p_27,5,0,e_1,180,198,217,29,1,1,0,3,0,0,15,3,2,10,2,1,2,5,2,1,8,5,1,1,29,1,1,4,4,1,0,18,19,37
p_20,3,0,e_2,142,163,224,18,1,0,0,3,1,0,11,2,1,0,2,2,0,5,0,0,8,3,0,0,18,1,0,15,2,1,0,21,61,82
p_25,9,0,e_2,163,185,226,30,1,1,3,2,1,1,15,4,3,6,5,2,2,25,1,1,4,4,1,0,30,1,1,9,4,1,0,22,41,63
p_28,7,0,e_2,184,195,227,26,1,1,9,2,1,1,13,2,2,10,5,0,2,6,1,0,1,5,0,1,26,1,1,3,4,1,0,11,32,43
p_33,1,0,e_2,213,217,228,7,2,1,2,4,1,0,12,1,0,13,4,1,0,30,1,1,1,4,1,0,7,2,1,2,5,1,1,4,11,15
p_30,2,0,e_3,200,210,246,2,1,0,0,2,0,1,14,2,1,14,5,1,1,3,1,0,5,4,1,0,4,1,0,6,4,1,0,10,36,46
p_31,5,0,e_3,203,223,248,5,1,0,0,5,0,1,10,2,0,15,5,1,1,29,1,1,4,4,1,0,30,1,1,5,4,1,0,20,25,45
p_36,1,0,e_3,225,239,249,4,1,0,5,4,1,0,10,1,0,11,4,1,0,18,1,1,1,5,1,0,11,2,1,0,2,2,0,14,10,24
p_35,0,6,e_2,222,224,250,5,2,2,0,4,1,0,11,1,0,11,1,1,0,20,1,1,0,5,1,0,5,2,2,5,2,1,1,2,26,28
p_32,0,10,e_1,209,217,252,8,2,2,2,4,1,0,15,1,0,15,4,1,0,3,1,0,3,4,1,0,8,2,2,2,2,0,2,8,35,43
p_24,14,0,e_0,157,197,258,27,1,1,4,5,2,1,22,1,1,6,4,1,0,13,1,0,1,5,0,1,27,1,1,11,4,1,0,40,61,101
p_29,14,0,e_0,192,198,260,16,1,1,13,5,0,2,11,1,0,3,5,0,1,24,2,2,8,4,1,1,16,1,1,0,4,1,0,6,62,68
p_23,15,0,e_0,150,205,261,28,1,1,1,5,2,0,16,1,1,7,4,0,1,15,2,0,0,2,0,2,28,1,1,13,4,1,0,55,56,111
p_34,11,0,e_0,217,221,262,8,2,0,12,4,1,0,11,2,0,0,5,1,1,20,2,2,1,1,1,1,8,2,0,3,5,1,1,4,41,45
p_38,12,0,e_2,240,272,312,19,1,1,3,5,1,0,24,1,1,6,4,1,0,12,2,1,6,5,1,1,19,1,1,1,1,1,0,32,40,72
p_41,7,0,e_0,257,287,317,7,0,0,0,3,1,0,12,2,2,11,5,0,2,10,1,1,7,5,0,1,7,0,0,0,3,0,0,30,30,60
p_47,3,0,e_0,293,303,319,14,2,1,6,4,1,0,7,2,1,10,4,1,1,3,1,0,6,4,1,0,14,2,1,5,5,1,1,10,16,26
p_49,3,0,e_0,298,304,320,13,2,1,4,4,1,1,6,3,1,9,1,1,2,1,1,0,4,4,1,0,13,2,1,6,5,1,1,6,16,22
p_51,0,4,e_2,309,312,329,12,2,2,1,4,1,0,2,1,0,2,4,1,0,8,1,0,8,4,1,0,12,2,2,10,5,1,1,3,17,20
p_39,13,0,e_1,247,265,333,13,1,0,9,5,1,1,20,1,1,3,4,1,0,8,2,0,5,5,1,1,13,1,0,0,2,1,0,18,68,86
p_37,15,0,e_1,228,275,335,19,2,2,2,5,1,0,25,1,1,10,4,1,0,15,2,0,0,2,1,1,19,2,2,4,4,1,1,47,60,107
p_40,15,0,e_1,255,276,336,15,0,0,10,5,0,2,16,1,1,1,4,1,0,8,1,0,7,5,0,1,15,0,0,0,3,0,0,21,60,81
p_48,9,0,e_1,294,298,337,8,2,1,10,4,1,1,27,2,2,6,4,1,1,27,1,1,6,4,1,0,8,2,1,5,5,1,1,4,39,43
p_46,8,0,e_1,291,305,338,10,2,1,11,4,1,0,29,1,1,7,4,1,0,29,1,1,7,4,1,0,10,2,1,4,5,1,1,14,33,47
p_57,1,0,e_0,327,333,340,13,2,0,0,3,0,0,1,1,0,2,4,1,0,11,3,2,4,5,1,2,13,2,0,14,2,1,1,6,7,13
p_62,1,0,e_0,345,351,358,8,1,0,0,3,0,0,10,1,1,1,5,1,0,16,5,2,7,5,1,4,8,1,0,9,4,1,0,6,7,13
p_58,0,6,e_1,330,333,360,14,1,0,1,4,1,0,2,1,1,0,5,0,1,4,3,3,4,3,0,3,14,1,0,14,4,1,0,3,27,30
p_42,4,0,e_3,269,284,374,4,0,0,0,3,0,0,9,1,1,1,5,0,1,13,2,1,13,5,1,1,9,1,1,11,5,0,1,15,90,105
p_43,4,0,e_3,270,286,376,4,1,0,0,5,0,1,8,1,1,2,5,0,1,12,2,1,14,5,1,1,8,1,0,12,5,0,1,16,90,106
p_44,4,0,e_3,275,288,377,3,1,0,1,5,0,1,7,1,1,3,5,0,1,11,2,0,15,2,1,1,8,1,0,12,4,1,0,13,89,102
p_45,11,0,e_3,290,313,378,15,1,0,4,5,1,0,26,1,1,7,4,1,0,30,1,1,11,4,1,0,26,1,1,7,4,1,0,23,65,88
p_50,11,0,e_3,299,314,379,4,2,0,7,5,1,1,23,2,2,4,4,1,1,28,2,2,9,1,1,1,23,1,1,4,4,1,0,15,65,80
p_52,14,0,e_3,312,327,380,3,2,0,11,2,1,1,17,1,1,1,4,1,0,23,1,1,7,4,1,0,14,2,0,0,5,1,1,15,53,68
p_55,14,0,e_3,314,328,381,3,3,0,11,2,1,2,17,1,1,1,4,1,0,22,1,1,6,4,1,0,14,3,0,0,2,1,2,14,53,67
p_63,3,0,e_0,364,376,389,30,1,1,0,3,0,0,3,0,0,6,3,0,0,9,4,0,12,5,1,3,30,1,1,3,4,1,0,12,13,25
p_65,0,7,e_3,369,376,406,1,1,0,1,4,1,0,5,1,1,1,5,0,1,6,0,0,6,3,0,0,12,3,0,12,4,1,2,7,30,37
p_54,7,0,e_2,313,342,414,10,3,1,0,2,1,1,24,1,1,1,4,1,0,29,1,1,6,4,1,0,10,3,1,11,2,1,2,29,72,101
p_53,8,0,e_2,313,349,416,9,3,1,0,2,1,2,23,1,1,1,4,1,0,28,1,1,6,4,1,0,9,3,1,11,2,1,2,36,67,103
p_56,8,0,e_2,324,350,417,7,2,1,3,5,1,2,8,0,0,0,3,0,0,25,1,1,3,4,1,0,7,2,1,13,5,1,1,26,67,93
p_61,12,0,e_2,341,366,418,29,1,1,7,2,0,4,12,1,0,0,2,0,1,12,1,0,0,5,1,0,29,1,1,11,4,1,0,25,52,77
p_59,3,0,e_2,335,397,419,10,1,0,5,5,0,2,28,1,1,1,4,1,0,9,2,1,0,2,2,0,10,1,0,13,4,1,0,62,22,84
p_70,3,0,e_2,398,399,420,22,2,2,2,5,0,1,10,2,1,11,5,1,1,30,2,2,3,1,1,1,22,2,2,5,5,2,0,1,21,22
p_60,2,0,e_2,338,404,421,10,1,0,6,5,0,3,28,1,1,0,4,1,0,10,2,1,0,2,1,1,10,1,0,12,4,1,0,66,17,83
p_64,0,15,e_3,365,374,434,3,1,0,3,4,1,0,6,1,1,0,5,0,1,6,0,0,6,3,0,0,12,4,4,12,2,1,3,9,60,69
p_68,2,0,e_0,389,400,448,26,2,2,0,5,0,1,12,2,2,10,5,0,2,3,3,1,5,4,1,2,26,2,2,2,5,2,0,11,48,59
p_66,11,0,e_1,376,394,449,19,3,1,6,3,0,0,8,2,0,3,2,1,1,29,3,3,10,4,1,2,19,3,1,0,2,3,0,18,55,73
p_69,2,0,e_0,391,401,450,26,2,2,0,2,0,1,12,2,2,10,5,0,2,3,3,1,5,4,1,2,26,2,2,2,5,2,0,10,49,59
p_71,7,0,e_0,403,423,451,17,2,1,2,5,1,1,5,1,0,12,4,1,0,25,2,2,2,1,1,1,17,2,1,6,5,2,0,20,28,48
p_67,12,0,e_1,377,401,451,18,3,1,6,5,0,1,15,1,0,3,2,1,0,27,3,3,9,4,1,2,18,3,1,0,2,3,0,24,50,74
p_72,6,0,e_1,417,423,452,14,1,1,8,4,1,0,3,2,1,5,5,1,1,6,1,0,0,2,1,0,14,1,1,10,5,1,0,6,29,35
p_73,3,0,e_1,423,436,453,15,1,1,6,1,1,1,4,2,0,7,2,1,1,3,0,0,0,3,0,0,15,1,1,12,5,1,0,13,17,30
p_75,3,0,e_2,438,450,463,12,1,1,0,3,0,0,30,1,1,3,4,1,0,30,1,1,3,4,1,0,12,1,1,15,4,0,1,12,13,25
p_74,10,0,e_3,424,453,492,8,1,1,12,5,1,0,17,1,0,7,2,1,0,26,2,2,6,1,1,1,10,0,0,0,3,0,0,29,39,68
p_76,10,0,e_3,440,454,494,4,1,0,14,4,0,1,22,1,1,2,4,1,0,23,1,1,3,4,1,0,10,1,0,0,5,0,1,14,40,54
p_79,9,0,e_3,457,461,495,1,1,0,10,4,1,0,15,2,1,0,5,0,2,9,0,0,0,3,0,0,23,1,1,2,4,1,0,4,34,38
p_81,1,0,e_1,493,499,506,1,1,0,0,3,0,0,14,3,2,11,5,1,2,1,0,0,0,3,0,0,1,1,0,0,2,1,0,6,7,13
p_82,0,12,e_2,494,495,536,0,1,1,0,3,0,0,15,3,3,11,5,1,2,2,1,1,0,5,0,1,0,1,1,0,2,1,0,1,41,42
p_83,0,12,e_3,501,502,547,0,0,0,0,3,0,0,14,2,2,12,5,1,1,1,1,0,1,4,1,0,23,1,1,1,5,1,0,1,45,46
p_77,4,0,e_0,455,470,556,6,1,0,0,3,0,0,4,0,0,0,3,0,0,28,1,1,2,4,1,0,6,1,0,10,1,1,0,15,86,101
p_78,12,0,e_0,455,498,558,28,1,1,0,3,0,1,12,0,0,0,3,0,0,20,1,1,2,4,1,0,28,1,1,10,1,1,0,43,60,103
p_80,13,0,e_0,474,505,559,23,1,1,4,5,1,1,13,0,0,0,3,0,0,13,0,0,0,3,0,0,23,1,1,6,4,1,0,31,54,85
p_84,12,0,e_0,504,512,560,12,1,0,13,2,1,1,18,1,1,0,4,1,0,10,1,0,2,5,1,0,12,1,0,0,2,1,0,8,48,56
p_90,1,0,e_0,538,549,561,13,2,1,4,4,1,0,6,2,1,3,5,0,2,15,1,1,12,5,0,1,13,2,1,10,2,2,0,11,12,23
p_85,14,0,e_2,517,546,600,10,1,0,6,5,1,0,27,1,1,11,4,1,0,14,0,0,0,3,0,0,10,1,0,4,5,1,0,29,54,83
p_86,14,0,e_2,518,547,602,10,1,0,6,5,1,1,27,1,1,11,4,1,0,14,0,0,0,3,0,0,10,1,0,4,5,1,0,29,55,84
p_91,14,0,e_2,539,548,603,4,2,0,12,5,0,1,20,2,2,4,4,1,1,11,2,0,3,2,0,2,4,2,0,10,5,2,0,9,55,64
p_88,10,0,e_3,531,537,603,6,1,1,8,5,1,0,27,1,1,7,4,1,0,10,1,0,0,5,0,1,7,2,2,11,5,1,1,6,66,72
p_92,10,0,e_3,540,557,605,4,2,1,10,5,2,0,24,2,2,4,4,1,1,7,3,0,3,2,1,2,6,1,1,12,5,0,1,17,48,65
p_95,10,0,e_3,547,558,606,2,3,0,12,2,1,2,21,2,2,1,4,1,1,6,4,0,4,5,1,3,4,2,0,14,2,1,1,11,48,59
p_100,10,0,e_3,557,559,607,30,3,3,12,4,1,0,10,1,0,0,2,1,0,5,4,0,5,5,1,3,30,3,3,10,1,1,2,2,48,50
p_99,9,0,e_3,556,566,608,1,2,0,10,1,1,1,9,1,0,0,5,1,0,4,4,0,5,2,1,3,3,1,0,12,4,1,0,10,42,52
p_101,9,0,e_3,566,567,609,30,2,2,10,4,1,0,9,0,0,0,3,0,0,3,3,0,6,5,1,2,30,2,2,9,1,1,1,1,42,43
p_94,3,0,e_3,546,589,610,9,3,0,4,3,1,2,29,2,2,2,4,1,1,11,2,0,14,2,1,1,9,3,0,12,2,2,1,43,21,64
p_107,3,0,e_3,584,590,611,1,1,0,4,4,1,0,7,1,1,0,5,0,1,14,4,2,11,5,1,3,2,1,0,5,4,1,0,6,21,27
p_111,2,0,e_2,607,616,626,2,1,0,0,3,0,0,6,2,1,6,5,1,1,12,3,2,14,4,1,2,2,1,0,0,2,1,0,9,10,19
p_106,5,0,e_0,583,601,636,30,1,1,0,3,0,0,12,4,2,11,5,1,3,30,1,1,5,4,1,0,30,1,1,5,4,1,0,18,35,53
p_108,7,0,e_0,584,611,638,27,2,2,0,5,0,1,10,4,2,11,5,1,3,28,1,1,5,4,1,0,27,2,2,4,4,1,1,27,27,54
p_117,0,2,e_3,636,637,645,0,0,0,0,5,1,0,7,3,0,7,1,1,2,24,2,2,2,5,0,2,0,0,0,0,3,0,0,1,8,9
p_87,3,0,e_1,528,540,665,14,1,1,0,3,0,0,5,1,0,8,4,1,0,15,2,2,10,5,1,1,14,1,1,7,5,1,0,12,125,137
p_93,4,0,e_1,543,547,667,9,3,1,3,5,1,1,29,2,2,3,4,1,1,11,1,1,13,5,0,1,9,3,1,11,5,2,1,4,120,124
p_89,5,0,e_1,535,554,668,9,2,1,2,5,0,1,30,1,1,5,4,1,0,11,2,1,12,2,1,1,9,2,1,10,5,1,1,19,114,133
p_97,5,0,e_1,552,555,669,6,2,1,5,5,1,3,26,1,1,1,4,1,0,9,1,0,14,4,1,0,6,2,1,11,4,1,1,3,114,117
p_98,6,0,e_1,555,562,670,4,2,0,5,2,1,3,6,1,1,0,3,1,0,7,1,0,13,4,1,0,4,2,0,10,4,1,1,7,108,115
p_96,7,0,e_1,551,569,671,5,2,1,4,5,1,2,24,1,1,1,4,1,0,7,1,0,14,4,1,0,5,2,1,12,4,1,1,18,102,120
p_105,12,0,e_1,582,588,672,23,1,1,10,5,1,2,12,0,0,0,3,0,0,24,1,1,6,4,1,0,23,1,1,5,4,1,0,6,84,90
p_110,12,0,e_1,590,592,673,21,2,2,12,5,1,3,10,2,0,2,5,0,2,21,1,1,3,4,1,0,21,2,2,3,1,1,1,2,81,83
p_102,14,0,e_1,568,602,674,25,1,1,7,2,1,2,14,0,0,0,3,0,0,25,2,2,9,4,1,1,25,1,1,9,1,1,0,34,72,106
p_103,14,0,e_1,577,603,675,23,1,1,9,5,1,2,14,0,0,0,3,0,0,23,1,1,7,4,1,0,23,1,1,7,4,1,0,26,72,98
p_104,14,0,e_1,581,604,676,21,1,1,10,5,1,2,14,0,0,0,3,0,0,22,1,1,6,4,1,0,21,1,1,5,4,1,0,23,72,95
p_112,11,0,e_1,613,617,677,11,0,0,12,4,1,2,26,1,1,7,4,1,0,10,1,0,1,5,0,1,11,0,0,0,3,0,0,4,60,64
p_109,10,0,e_1,590,624,678,23,2,2,12,5,1,2,8,2,0,2,5,0,2,23,1,1,3,4,1,0,23,2,2,3,1,1,1,34,54,88
p_116,7,0,e_1,633,637,679,7,0,0,8,4,1,1,24,1,1,1,4,1,0,18,2,2,1,5,0,2,7,0,0,0,3,0,0,4,42,46
p_121,3,0,e_0,656,668,685,9,1,1,0,3,0,0,30,1,1,3,4,1,0,15,2,2,8,5,0,2,9,1,1,4,5,0,1,12,17,29
p_125,2,0,e_0,668,675,687,7,3,1,3,2,1,1,2,2,0,0,2,2,0,13,2,1,11,5,1,1,7,3,1,7,2,1,2,7,12,19
p_123,0,2,e_1,661,665,693,11,2,2,1,4,1,0,5,1,1,1,5,0,1,17,2,2,9,2,1,1,11,2,2,5,5,0,2,4,28,32
p_126,1,0,e_1,681,686,703,6,1,0,0,5,1,0,30,1,1,1,4,1,0,12,1,0,13,4,1,0,6,1,0,7,4,1,0,5,17,22
p_122,7,0,e_3,657,667,704,5,1,1,4,5,0,1,7,1,0,0,5,0,1,25,1,1,2,4,1,0,10,2,1,9,5,0,2,10,37,47
p_124,7,0,e_3,664,668,706,3,2,1,6,5,0,2,5,1,0,2,5,0,1,7,1,1,0,3,1,0,10,2,1,9,5,1,1,4,38,42
p_118,8,0,e_3,649,675,707,6,0,0,2,3,0,0,8,0,0,0,3,0,0,26,2,2,4,4,1,1,12,2,2,6,5,0,2,26,32,58
p_119,8,0,e_3,650,676,708,6,1,0,2,5,0,1,8,0,0,0,3,0,0,26,2,2,4,4,1,1,12,2,2,6,5,0,2,26,32,58
p_113,9,0,e_2,629,659,720,9,0,0,0,3,0,0,23,1,1,2,4,1,0,30,2,2,9,4,1,1,9,0,0,0,3,0,0,30,61,91
p_115,9,0,e_2,632,660,722,9,0,0,0,5,0,1,22,1,1,1,4,1,0,29,2,2,8,4,1,1,9,0,0,0,3,0,0,28,62,90
p_114,13,0,e_2,632,676,723,13,0,0,0,5,0,1,18,1,1,1,4,1,0,25,2,2,8,4,1,1,13,0,0,0,3,0,0,44,47,91
p_120,13,0,e_2,653,677,724,10,1,0,7,5,0,2,13,0,0,0,3,0,0,20,1,1,3,1,1,0,10,1,0,3,5,0,1,24,47,71
p_128,0,15,e_1,705,706,759,0,1,1,0,2,0,0,13,1,1,1,5,0,1,5,1,0,5,4,1,0,0,1,1,0,2,1,0,1,53,54
p_131,7,0,e_2,722,749,774,7,0,0,0,2,1,0,9,2,1,6,5,0,2,19,2,1,4,5,1,1,7,0,0,0,3,0,0,27,25,52
p_132,4,0,e_3,730,745,777,4,0,0,0,3,0,0,10,2,1,8,5,1,1,20,2,1,6,5,2,0,9,1,1,1,5,0,1,15,32,47
p_133,6,0,e_3,734,755,779,5,1,0,1,5,0,1,7,2,1,9,5,1,1,17,2,1,7,5,2,0,6,1,1,2,5,0,1,21,24,45
p_129,5,0,e_1,705,725,813,5,1,0,0,2,0,1,8,1,1,1,5,0,1,30,1,1,5,4,1,0,5,1,0,0,2,1,0,20,88,108
p_127,7,0,e_0,701,725,814,24,1,1,0,3,0,0,23,1,1,0,4,1,0,29,1,1,6,4,1,0,24,1,1,1,4,1,0,24,89,113
p_140,5,0,e_1,768,793,815,28,1,1,12,4,1,1,8,1,0,13,4,1,0,27,1,1,2,4,1,0,28,1,1,3,4,1,0,25,22,47
p_130,11,0,e_0,705,741,816,11,1,0,1,5,0,1,11,2,0,0,2,0,2,24,1,1,5,4,1,0,11,1,0,0,2,1,0,36,75,111
p_143,5,0,e_1,780,794,816,5,0,0,9,4,1,0,5,2,0,10,4,1,1,24,3,3,1,5,1,2,5,0,0,0,2,0,0,14,22,36
p_135,11,0,e_0,739,742,817,9,2,0,11,5,1,2,10,2,1,9,5,2,0,7,1,0,4,5,0,1,9,2,0,2,5,0,2,3,75,78
p_134,14,0,e_0,734,755,818,13,2,0,9,5,1,1,9,2,1,7,5,2,0,12,1,0,2,5,0,1,13,2,0,1,5,0,2,21,63,84
p_136,14,0,e_0,749,756,819,10,2,0,12,5,1,1,4,2,1,12,5,2,0,7,2,0,7,2,1,1,10,2,0,4,5,1,1,7,63,70
p_137,13,0,e_0,755,763,820,7,2,0,14,2,1,1,3,2,1,14,5,2,0,23,1,1,6,4,1,0,7,2,0,6,2,1,1,8,57,65
p_138,12,0,e_0,756,770,821,18,1,0,14,2,1,2,4,2,1,14,5,2,0,24,1,1,6,4,1,0,18,1,0,6,2,1,0,14,51,65
p_141,12,0,e_0,770,771,822,20,1,1,1,4,1,0,30,3,3,12,1,1,2,30,1,1,12,4,1,0,20,1,1,2,4,1,0,1,51,52
p_139,0,15,e_2,758,774,831,6,1,0,5,4,1,0,14,3,0,14,4,1,2,15,2,2,15,2,2,0,6,1,0,6,4,1,0,16,57,73
p_145,1,0,e_1,820,826,833,1,0,0,0,3,0,0,11,2,1,0,2,1,1,16,2,1,13,2,1,1,1,0,0,0,3,0,0,6,7,13
p_144,6,0,e_0,815,844,866,6,0,0,0,2,1,0,6,1,0,0,2,1,0,12,2,2,12,2,1,1,6,0,0,0,3,0,0,29,22,51
p_142,13,0,e_2,773,821,897,18,1,1,0,3,1,1,29,2,2,12,4,1,1,28,1,1,11,4,1,0,18,1,1,1,4,1,0,48,76,124
p_146,10,0,e_2,846,850,899,10,0,0,11,4,1,0,26,1,1,6,4,1,0,10,0,0,0,3,0,0,10,0,0,0,3,0,0,4,49,53
p_159,8,0,e_2,849,860,900,8,0,0,10,1,1,2,27,1,1,5,4,1,0,8,0,0,0,3,0,0,8,0,0,0,3,0,0,11,40,51
p_147,6,0,e_2,849,870,901,6,0,0,10,1,1,1,29,1,1,5,4,1,0,6,0,0,0,3,0,0,6,0,0,0,3,0,0,21,31,52
p_149,6,0,e_2,859,871,902,6,0,0,8,1,1,2,26,1,1,2,4,1,0,21,1,1,3,5,0,1,6,0,0,0,3,0,0,12,31,43
p_153,6,0,e_2,872,873,903,15,3,1,1,5,0,1,17,1,1,7,5,0,1,30,1,1,6,1,1,0,15,3,1,3,2,1,2,1,30,31
p_154,4,0,e_2,874,881,904,17,2,1,6,4,1,0,7,2,1,1,5,0,2,18,1,1,8,5,0,1,17,2,1,3,5,1,1,7,23,30
p_152,2,0,e_0,868,877,935,20,2,2,0,2,0,0,22,1,1,6,5,0,1,4,2,0,6,4,1,1,20,2,2,2,5,0,2,9,58,67
p_157,7,0,e_0,889,899,937,9,3,2,5,5,1,1,10,1,1,13,5,0,1,25,1,1,2,4,1,0,9,3,2,8,5,1,2,10,38,48
p_158,7,0,e_0,892,900,938,8,3,2,6,2,1,2,9,1,1,14,5,0,1,24,1,1,1,4,1,0,8,3,2,9,5,1,2,8,38,46
p_160,8,0,e_0,893,907,939,7,3,2,6,2,1,1,8,1,1,14,5,0,1,23,1,1,1,4,1,0,7,3,2,9,5,1,2,14,32,46
p_148,15,0,e_1,849,897,946,15,0,0,0,3,0,0,20,1,1,5,4,1,0,25,4,4,10,1,1,3,15,0,0,0,3,0,0,48,49,97
p_150,3,0,e_3,860,872,948,3,0,0,0,3,0,0,29,1,1,2,4,1,0,24,1,1,3,5,0,1,5,3,1,8,1,1,2,12,76,88
