id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_296,2,0,e_2,20,29,39,2,0,0,0,3,0,0,5,1,1,3,5,0,1,27,1,1,1,5,0,1,2,0,0,0,3,0,0,9,10,19
p_288,2,0,e_3,21,30,56,2,0,0,0,3,0,0,4,1,1,4,5,0,1,26,1,1,2,5,0,1,2,1,0,0,5,0,1,9,26,35
p_291,4,0,e_3,31,40,58,6,1,0,2,2,1,0,8,3,2,6,5,1,2,21,1,1,5,5,0,1,28,1,1,2,4,1,0,9,18,27
p_293,1,0,e_3,60,66,73,1,0,0,0,3,0,0,6,2,1,7,4,1,1,14,3,0,15,5,0,3,14,1,1,1,5,0,1,6,7,13
p_297,5,0,e_0,8,26,87,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,18,61,79
p_299,7,0,e_0,22,36,89,7,1,0,4,5,0,1,21,1,1,2,5,0,1,7,1,0,0,5,0,1,7,1,0,0,5,0,1,14,53,67
p_285,9,0,e_0,29,46,90,7,1,0,5,5,1,1,17,1,1,4,5,0,1,7,2,0,2,2,1,1,7,1,0,2,2,0,1,17,44,61
p_298,7,0,e_0,45,56,91,26,1,1,9,2,1,1,13,1,1,10,5,0,1,7,0,0,0,3,0,0,26,1,1,3,4,1,0,11,35,46
p_286,7,0,e_0,46,57,92,26,1,1,9,2,1,2,13,1,1,10,5,0,1,7,0,0,0,3,0,0,26,1,1,3,4,1,0,11,35,46
p_294,6,0,e_0,57,64,93,6,1,0,7,1,1,1,10,2,1,14,5,0,2,10,1,1,0,5,0,1,6,1,0,0,2,1,0,7,29,36
p_287,6,0,e_0,58,65,94,6,1,0,7,1,1,1,10,2,1,14,5,0,2,9,1,1,1,5,0,1,6,1,0,0,2,0,1,7,29,36
p_268,1,0,e_0,112,118,125,8,2,0,0,3,0,0,6,2,0,7,4,1,1,10,2,0,11,1,1,1,8,2,0,9,2,1,1,6,7,13
p_295,15,0,e_1,14,62,140,15,0,0,0,3,0,0,14,1,0,1,5,0,1,15,0,0,0,3,0,0,15,0,0,0,3,0,0,48,78,126
p_284,15,0,e_1,49,64,142,17,1,1,11,5,0,1,24,2,2,9,4,1,1,15,0,0,0,3,0,0,17,1,1,2,4,1,0,15,78,93
p_283,15,0,e_1,50,66,143,17,1,1,11,5,0,1,24,2,2,9,4,1,1,15,0,0,0,3,0,0,17,1,1,2,4,1,0,16,77,93
p_273,14,0,e_1,66,75,144,13,2,0,15,5,1,3,22,1,1,6,1,1,0,11,1,0,3,5,0,1,13,2,0,1,2,1,1,9,69,78
p_289,12,0,e_1,58,85,145,12,1,0,14,5,0,2,25,2,2,7,1,1,1,11,1,0,1,5,0,1,12,1,0,0,2,0,1,27,60,87
p_276,12,0,e_1,70,86,146,19,1,1,5,5,0,1,23,1,1,5,4,1,0,3,4,1,15,4,1,3,19,1,1,1,4,1,0,16,60,76
p_271,12,0,e_1,74,87,147,12,2,0,14,1,1,3,22,1,1,4,4,1,0,6,2,0,6,5,0,2,12,2,0,0,2,0,2,13,60,73
