id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_7,2,0,e_3,55,64,74,2,0,0,0,3,0,0,11,2,0,13,2,1,1,10,2,1,10,5,1,1,9,2,1,7,5,1,1,9,10,19
p_6,9,0,e_1,45,49,96,9,0,0,8,5,0,1,7,1,1,10,5,0,1,4,3,0,5,5,1,2,9,0,0,0,3,0,0,4,47,51
p_1,13,0,e_0,13,55,98,13,0,0,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,42,43,85
p_2,11,0,e_1,19,59,98,11,0,0,0,3,0,0,14,1,1,1,5,0,1,11,0,0,0,3,0,0,11,0,0,0,3,0,0,40,39,79
p_12,0,8,e_1,86,96,126,16,2,2,3,4,1,0,4,1,0,4,4,1,0,16,2,2,14,5,1,1,16,2,2,2,5,0,2,10,30,40
p_16,4,0,e_0,101,115,141,8,2,1,0,5,0,1,12,1,1,0,5,1,0,9,2,1,13,1,1,1,8,2,1,6,5,1,1,14,26,40
p_11,4,0,e_3,84,92,142,12,1,1,2,5,0,1,30,1,1,4,4,1,0,30,1,1,4,4,1,0,12,2,1,14,5,1,1,8,50,58
p_15,5,0,e_0,99,122,143,8,2,1,0,2,0,1,11,1,1,0,2,1,0,8,3,1,13,1,1,2,8,2,1,5,5,1,1,23,21,44
p_10,9,0,e_3,77,111,144,9,0,0,0,3,0,0,28,1,1,7,4,1,0,27,1,1,6,4,1,0,10,2,1,11,5,1,1,34,33,67
p_3,4,0,e_2,25,40,147,4,0,0,0,3,0,0,19,1,1,3,5,0,1,17,1,1,1,5,0,1,4,0,0,0,3,0,0,15,107,122
p_4,5,0,e_2,34,47,149,5,0,0,2,5,0,1,15,1,1,6,5,0,1,13,1,1,4,5,0,1,5,0,0,0,3,0,0,13,102,115
p_5,9,0,e_2,41,63,150,9,0,0,4,2,1,1,8,1,1,9,5,0,1,6,1,1,7,5,0,1,9,0,0,0,3,0,0,22,87,109
p_9,10,0,e_2,67,70,151,22,1,1,9,5,1,1,30,1,1,10,4,1,0,29,1,1,9,4,1,0,22,1,1,2,4,1,0,3,81,84
