id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_296,2,0,e_1,20,29,75,-1,-1,-1,0,3,0,0,25,2,2,3,5,0,2,2,0,0,0,3,0,0,2,0,0,0,3,0,0,9,46,55
p_288,2,0,e_1,21,30,77,-1,-1,-1,0,5,0,1,24,2,2,4,5,0,2,2,0,0,0,3,0,0,2,0,0,0,3,0,0,9,47,56
p_299,7,0,e_1,22,49,78,-1,-1,-1,0,5,0,1,19,2,1,4,5,0,2,7,0,0,0,3,0,0,7,0,0,0,3,0,0,27,29,56
p_286,7,0,e_1,46,50,79,-1,-1,-1,6,5,1,1,14,4,1,9,5,1,3,7,0,0,0,3,0,0,7,0,0,0,3,0,0,4,29,33
p_294,6,0,e_2,57,78,101,-1,-1,-1,0,3,0,0,11,4,1,13,5,1,3,30,3,3,6,4,1,2,6,0,0,0,3,0,0,21,23,44
p_287,6,0,e_2,58,79,103,-1,-1,-1,0,5,0,1,11,4,1,13,5,1,3,29,3,3,5,4,1,2,6,0,0,0,3,0,0,21,24,45
p_297,5,0,e_0,8,26,147,-1,-1,-1,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,18,121,139
p_285,9,0,e_0,29,42,149,-1,-1,-1,5,5,1,1,7,3,0,2,2,1,2,9,0,0,0,3,0,0,9,0,0,0,3,0,0,13,107,120
p_295,15,0,e_0,14,64,150,-1,-1,-1,1,5,0,1,15,0,0,0,3,0,0,15,0,0,0,3,0,0,15,0,0,0,3,0,0,50,86,136
p_284,15,0,e_0,49,66,151,-1,-1,-1,10,5,1,3,8,2,0,7,2,1,1,15,0,0,0,3,0,0,15,0,0,0,3,0,0,17,85,102
p_283,15,0,e_0,50,68,152,-1,-1,-1,11,5,1,3,8,2,0,7,2,1,1,15,0,0,0,3,0,0,15,0,0,0,3,0,0,18,84,102
