id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_3,4,0,e_1,25,40,99,-1,-1,-1,0,3,0,0,19,2,2,3,5,0,2,4,0,0,0,3,0,0,4,0,0,0,3,0,0,15,59,74
p_4,5,0,e_1,34,47,101,-1,-1,-1,2,5,0,1,15,2,2,6,5,0,2,5,0,0,0,3,0,0,5,0,0,0,3,0,0,13,54,67
p_2,11,0,e_0,19,49,102,-1,-1,-1,1,5,0,1,11,0,0,0,3,0,0,11,0,0,0,3,0,0,11,0,0,0,3,0,0,30,53,83
p_5,9,0,e_1,41,63,102,-1,-1,-1,4,2,1,1,8,2,2,9,5,0,2,9,0,0,0,3,0,0,9,0,0,0,3,0,0,22,39,61
p_6,9,0,e_1,45,64,103,-1,-1,-1,5,5,1,2,7,2,2,10,5,0,2,9,0,0,0,3,0,0,9,0,0,0,3,0,0,19,39,58
p_1,13,0,e_0,13,59,104,-1,-1,-1,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,13,0,0,0,3,0,0,46,45,91
p_7,2,0,e_1,55,89,104,-1,-1,-1,7,5,1,1,12,2,1,12,5,1,1,2,0,0,0,3,0,0,2,0,0,0,3,0,0,34,15,49
p_12,0,8,e_2,86,87,113,-1,-1,-1,5,4,1,2,3,4,0,3,4,1,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,26,27
p_16,4,0,e_2,101,129,145,-1,-1,-1,4,5,1,0,4,5,5,0,3,1,4,16,4,2,0,2,1,3,4,0,0,0,3,0,0,28,16,44
p_11,4,0,e_1,84,120,181,-1,-1,-1,3,4,1,2,2,3,0,6,4,1,2,4,0,0,0,3,0,0,4,0,0,0,3,0,0,36,61,97
p_19,0,7,e_2,125,145,181,-1,-1,-1,5,4,0,1,25,4,4,5,5,1,3,15,3,3,5,5,1,2,29,1,1,1,5,0,1,20,36,56
p_13,8,0,e_1,87,136,183,-1,-1,-1,2,4,1,3,27,3,3,5,4,1,2,8,1,0,0,5,1,0,8,0,0,0,3,0,0,49,47,96
p_9,10,0,e_1,67,146,184,-1,-1,-1,9,4,1,1,1,2,0,11,4,1,1,10,0,0,0,3,0,0,10,0,0,0,3,0,0,79,38,117
p_17,10,0,e_1,112,147,185,-1,-1,-1,2,5,0,3,18,4,2,2,5,0,4,2,2,0,8,2,1,1,10,0,0,0,3,0,0,35,38,73
p_21,0,10,e_2,142,147,194,-1,-1,-1,1,4,1,0,21,3,3,9,5,1,2,11,2,2,9,5,1,1,23,1,1,7,5,0,1,5,47,52
p_23,15,0,e_3,150,168,219,-1,-1,-1,10,4,1,0,3,3,0,12,5,1,2,15,4,0,0,5,2,2,6,1,0,9,5,0,1,18,51,69
p_15,5,0,e_0,99,123,222,-1,-1,-1,1,4,1,3,15,4,2,0,5,1,3,7,1,1,4,5,1,0,5,0,0,0,3,0,0,24,99,123
p_10,9,0,e_0,77,139,224,-1,-1,-1,8,4,1,1,27,3,3,6,4,1,2,9,0,0,0,3,0,0,9,0,0,0,3,0,0,62,85,147
