id,from,to,car,incoming_time,boarding_time,attended_time,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
p_299,0,5,e_1,9,10,27,-1,-1,-1,0,5,1,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,17,18
p_300,0,4,e_0,8,9,28,-1,-1,-1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,19,20
p_297,0,6,e_2,15,16,39,-1,-1,-1,0,3,0,0,18,2,2,0,5,2,0,9,1,1,1,5,1,0,0,0,0,0,3,0,0,1,23,24
p_298,0,9,e_0,11,12,47,-1,-1,-1,0,2,1,0,10,1,1,0,5,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,35,36
p_296,0,4,e_3,28,29,48,-1,-1,-1,0,3,0,0,14,2,2,4,2,1,1,5,0,0,5,2,0,0,9,1,1,3,5,1,0,1,19,20
p_295,0,5,e_3,29,31,55,-1,-1,-1,4,2,1,0,5,0,0,5,3,0,0,9,1,1,3,5,1,0,8,2,2,0,5,1,1,2,24,26
p_294,0,12,e_3,31,32,80,-1,-1,-1,4,5,1,1,5,0,0,5,3,0,0,8,1,1,4,5,1,0,10,3,3,0,2,2,1,1,48,49
p_293,0,12,e_3,33,34,81,-1,-1,-1,4,5,1,0,13,2,2,5,5,1,1,5,0,0,5,3,0,0,24,3,3,0,2,3,0,1,47,48
p_281,0,1,e_2,73,74,85,-1,-1,-1,0,2,8,0,1,1,0,1,4,0,1,5,0,0,5,3,0,0,14,2,2,10,5,1,1,1,11,12
p_278,0,2,e_2,77,78,92,-1,-1,-1,0,2,10,1,0,1,1,0,3,0,1,5,1,0,5,4,0,1,13,2,2,11,5,1,1,1,14,15
p_279,0,5,e_0,76,78,98,-1,-1,-1,0,5,10,0,0,1,0,0,4,0,1,5,1,0,5,4,0,1,13,2,2,11,5,1,1,2,20,22
p_286,0,3,e_2,46,68,99,-1,-1,-1,4,5,3,1,9,2,2,9,2,1,1,5,0,0,5,3,0,0,5,1,0,5,4,0,1,22,31,53
p_289,0,4,e_2,43,65,106,-1,-1,-1,3,5,3,0,10,2,2,8,5,1,1,5,0,0,5,3,0,0,6,1,0,6,4,0,1,22,41,63
p_285,0,4,e_2,53,69,107,-1,-1,-1,5,5,2,1,8,1,0,8,4,0,1,5,0,0,5,3,0,0,2,1,0,2,4,0,1,16,38,54
p_284,0,4,e_2,54,70,108,-1,-1,-1,5,2,2,1,8,1,0,8,4,0,1,5,0,0,5,3,0,0,2,1,0,2,4,0,1,16,38,54
p_287,0,5,e_2,45,67,115,-1,-1,-1,3,5,3,1,9,2,2,9,5,1,1,5,0,0,5,3,0,0,5,1,0,5,4,0,1,22,48,70
p_277,0,6,e_1,82,93,119,-1,-1,-1,0,5,1,0,3,1,0,3,4,0,1,28,11,11,0,5,11,0,12,1,1,12,2,0,1,11,26,37
p_292,0,6,e_2,38,61,122,-1,-1,-1,6,5,1,1,5,0,0,5,3,0,0,6,2,2,6,2,1,1,23,3,3,1,5,3,0,23,61,84
p_290,0,6,e_2,40,64,123,-1,-1,-1,7,5,1,1,5,0,0,5,3,0,0,6,1,1,6,2,0,1,22,3,3,2,5,3,0,24,59,83
p_274,0,8,e_1,88,97,129,-1,-1,-1,2,5,1,1,1,1,0,1,4,0,1,27,11,11,1,5,10,1,11,1,0,11,4,0,1,9,32,41
p_282,0,7,e_2,66,72,130,-1,-1,-1,8,5,1,1,4,1,0,4,4,0,1,5,0,0,5,3,0,0,22,5,5,0,2,4,1,6,58,64
p_271,0,1,e_3,121,123,131,-1,-1,-1,0,5,0,0,20,2,2,0,5,2,0,22,4,4,6,5,3,1,22,7,7,6,2,6,1,2,8,10
p_273,0,4,e_0,110,117,135,-1,-1,-1,3,5,4,0,2,1,0,2,4,0,1,24,8,8,4,5,7,1,3,1,0,3,4,0,1,7,18,25
p_288,0,8,e_2,44,66,137,-1,-1,-1,8,5,1,1,5,0,0,5,3,0,0,5,1,0,5,4,0,1,21,4,4,3,5,3,1,22,71,93
p_276,0,11,e_1,84,95,142,-1,-1,-1,1,2,11,0,9,2,2,1,5,1,1,3,1,0,3,4,0,1,12,1,0,12,4,0,1,11,47,58
p_283,0,9,e_2,57,71,144,-1,-1,-1,7,4,0,1,5,0,0,5,3,0,0,1,1,0,1,4,0,1,19,2,2,5,5,1,1,14,73,87
p_291,0,11,e_2,39,63,154,-1,-1,-1,7,5,1,1,5,0,0,5,3,0,0,6,2,2,6,2,0,2,23,3,3,1,5,3,0,24,91,115
p_275,0,14,e_1,86,96,155,-1,-1,-1,1,5,1,1,2,1,0,2,4,0,1,27,11,11,1,2,10,1,11,1,0,11,4,0,1,10,59,69
p_272,0,10,e_0,113,119,157,-1,-1,-1,1,4,0,1,24,5,5,4,5,4,1,23,8,8,5,5,7,1,2,1,0,2,4,0,1,6,38,44
p_270,0,9,e_3,122,124,159,-1,-1,-1,0,2,0,1,20,2,2,0,5,2,0,22,4,4,6,5,3,1,22,7,7,6,2,6,1,2,35,37
p_280,0,14,e_2,75,76,167,-1,-1,-1,5,3,0,0,1,1,0,1,4,0,1,22,9,9,0,2,9,0,13,2,2,11,5,1,1,1,91,92
p_267,0,1,e_0,148,194,213,-1,-1,-1,7,5,1,1,16,2,2,12,5,1,1,19,3,3,9,5,2,1,12,1,1,6,5,1,0,46,19,65
p_268,0,2,e_0,144,193,220,-1,-1,-1,6,5,1,0,17,2,2,11,5,1,1,19,4,4,9,2,2,2,14,1,1,4,5,1,0,49,27,76
p_254,0,4,e_1,187,204,220,-1,-1,-1,1,4,0,1,4,1,0,4,4,0,1,8,1,0,8,4,0,1,9,0,0,9,3,0,0,17,16,33
p_255,0,3,e_0,184,204,227,-1,-1,-1,2,4,0,1,5,1,0,5,4,0,1,9,1,0,9,4,0,1,9,0,0,9,3,0,0,20,23,43
