from,to,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
3,0,3,0,0,0,3,0,0,13,1,1,0,5,0,1,3,0,0,0,3,0,0,3,0,0,0,3,0,0,12,11,23
1,0,1,0,0,0,3,0,0,18,2,2,5,5,0,2,2,1,0,3,4,1,0,4,1,1,3,5,0,1,6,5,11
4,0,4,0,0,0,3,0,0,11,1,1,1,5,0,1,4,1,0,0,5,0,1,4,0,0,0,3,0,0,15,22,37
5,0,5,1,0,3,5,0,1,14,2,2,5,5,0,2,27,1,1,2,4,1,0,5,1,0,0,5,0,1,8,17,25
4,0,6,1,1,2,5,0,1,14,4,2,12,5,1,3,14,1,1,4,5,0,1,27,1,1,1,4,1,0,7,32,39
6,0,6,0,0,0,3,0,0,15,4,3,9,5,1,3,15,1,1,1,5,0,1,28,1,1,4,4,1,0,23,24,47
3,0,5,3,1,4,5,1,2,14,2,1,13,5,1,1,13,1,1,6,5,0,1,10,1,1,1,5,0,1,18,13,31
1,0,3,1,1,4,3,0,1,16,2,1,13,2,1,1,15,1,1,6,5,0,1,13,1,1,0,5,0,1,28,5,33
11,0,11,0,0,0,3,0,0,11,3,3,8,2,0,3,24,1,1,5,4,1,0,11,0,0,0,3,1,0,36,47,83
12,0,8,4,0,6,5,0,1,5,2,1,13,5,1,1,11,1,0,1,5,0,1,8,4,0,4,5,1,3,20,42,62
12,0,22,3,3,11,2,0,1,2,3,0,14,4,1,2,7,3,0,5,5,1,2,22,3,3,4,4,1,2,6,42,48
5,0,15,1,1,9,4,1,1,4,2,1,9,4,1,1,15,3,1,10,5,1,2,15,1,1,0,5,0,1,12,19,31
2,0,29,1,1,11,4,1,0,8,2,1,10,1,1,1,10,2,1,8,5,1,1,29,1,1,1,1,1,0,29,8,37
8,0,8,0,0,0,3,0,0,8,0,0,0,3,0,0,8,0,0,0,3,0,0,8,0,0,0,3,0,0,27,84,111
12,0,12,0,0,4,5,0,1,15,0,0,3,2,0,0,10,1,0,2,5,0,1,12,0,0,0,3,0,0,27,70,97
13,0,13,1,0,6,5,0,2,19,1,1,2,4,1,0,9,2,0,4,5,0,2,13,1,0,0,5,0,1,27,65,92
15,0,16,1,1,7,5,0,3,16,1,1,1,4,1,0,11,2,0,4,5,1,1,16,1,1,1,4,1,0,32,57,89
14,0,9,4,0,14,5,1,1,6,2,0,8,5,0,2,12,2,0,2,2,0,2,9,4,0,5,5,1,3,8,52,60
10,0,25,3,3,14,4,1,1,4,2,2,10,5,0,2,6,3,0,4,5,1,2,25,3,3,5,4,1,2,14,38,52
6,0,29,3,3,14,1,1,0,8,2,2,10,5,0,2,10,3,2,4,5,1,2,29,3,3,5,4,1,2,29,24,53
4,0,16,1,1,8,4,1,2,4,3,1,8,4,1,2,16,2,1,10,5,1,1,16,1,1,0,5,0,1,15,16,31
2,0,18,1,1,8,4,1,1,6,3,1,8,4,1,2,18,2,1,10,5,1,1,18,1,1,0,5,0,1,23,8,31
2,0,5,4,1,2,5,0,1,14,2,1,14,5,1,1,15,2,2,7,5,0,2,5,4,1,5,5,1,3,2,94,96
7,0,4,2,0,0,3,0,0,11,3,2,12,5,1,2,10,1,1,5,5,0,1,4,2,0,3,5,0,2,26,77,103
10,0,5,4,0,2,2,0,1,6,2,1,14,5,1,1,6,2,2,8,5,0,2,5,4,0,5,5,1,3,29,66,95
15,0,15,1,1,9,5,1,1,24,2,2,9,4,1,1,24,2,2,9,4,1,1,15,1,1,0,4,1,0,21,49,70
13,0,9,1,0,13,5,1,1,22,3,3,5,4,1,2,22,2,2,5,4,1,1,9,1,0,4,5,0,1,14,41,55
1,0,8,1,0,0,3,0,0,13,2,2,6,5,0,2,5,1,1,2,5,0,1,8,1,0,9,4,1,0,6,5,11
10,0,10,0,0,0,3,1,0,29,2,2,9,4,1,1,29,2,2,9,4,1,1,11,3,1,9,5,1,2,33,68,101
15,0,8,1,0,7,5,0,1,17,2,2,2,4,1,1,17,1,1,2,4,1,0,29,2,2,14,4,1,1,26,51,77
11,0,5,2,1,14,5,1,1,11,0,0,0,3,0,0,11,0,0,0,3,0,0,26,1,1,7,4,1,0,18,37,55
5,0,1,1,0,6,4,1,0,17,3,2,8,5,1,2,15,2,1,4,5,1,1,25,1,1,0,4,1,0,3,17,20
5,0,27,1,1,3,5,0,1,13,2,1,12,5,1,1,13,3,2,8,5,1,2,27,1,1,2,4,1,0,7,25,32
6,0,29,1,1,0,3,0,0,15,3,2,9,5,1,2,13,2,1,5,5,1,1,29,1,1,5,1,1,0,23,20,43
6,0,26,1,1,3,5,0,1,12,2,1,12,5,1,1,12,3,2,8,5,1,2,26,1,1,2,4,1,0,13,20,33
2,0,22,2,2,0,3,0,0,5,2,1,7,4,1,1,5,1,0,7,4,1,0,22,2,2,6,5,0,2,9,8,17
4,0,7,1,0,0,3,0,0,6,1,1,4,5,0,1,27,1,1,1,4,1,0,7,1,0,11,4,1,0,15,74,89
12,0,25,1,1,3,5,0,1,11,3,1,7,5,1,2,11,1,0,1,5,0,1,25,1,1,7,4,1,0,30,48,78
12,0,23,2,2,4,5,1,1,9,3,1,9,5,1,2,12,0,0,0,3,1,0,23,2,2,5,4,1,1,24,48,72
12,0,22,1,1,7,5,1,1,8,2,1,10,5,1,1,11,1,0,1,5,0,1,22,1,1,4,4,1,0,17,48,65
13,0,20,1,1,7,5,1,1,6,2,1,11,5,1,1,11,1,0,2,5,0,1,20,1,1,3,4,1,0,21,43,64
10,0,10,1,0,13,4,1,0,3,2,1,13,4,1,1,25,1,1,5,4,1,0,10,1,0,0,5,0,1,11,32,43
